ax,ay,az,gx,gy,gz
-0.5430,-0.7654,-0.3022,-41.5420,-33.2672,9.5191
-0.5234,-0.7695,-0.3027,-42.6641,-32.2137,9.5267
-0.5190,-0.7781,-0.2849,-43.7023,-32.1145,9.1145
-0.5110,-0.7742,-0.2749,-44.7405,-32.0076,8.6107
-0.5227,-0.7676,-0.2664,-45.7023,-31.9389,8.4733
-0.5288,-0.7710,-0.2617,-46.5344,-31.7481,8.3740
-0.5352,-0.7732,-0.2561,-47.3817,-31.6336,8.1679
-0.5515,-0.7795,-0.2534,-47.8397,-31.7176,8.1832
-0.5735,-0.7898,-0.2576,-48.1832,-31.9237,8.2595
-0.5730,-0.8042,-0.2559,-48.1374,-32.3206,8.4351
-0.5742,-0.8181,-0.2542,-47.9237,-32.6870,8.7405
-0.5657,-0.8301,-0.2449,-47.2824,-33.1985,9.1527
-0.5579,-0.8569,-0.2317,-46.4809,-33.8931,9.6947
-0.5671,-0.8938,-0.2205,-44.9084,-35.2977,10.1832
-0.5740,-0.9446,-0.1904,-43.0763,-36.5725,10.6641
-0.5779,-1.0081,-0.1650,-40.6412,-37.7863,11.2672
-0.5784,-1.0698,-0.1545,-37.8092,-38.4122,11.9542
-0.5779,-1.1111,-0.1392,-34.7328,-37.7557,12.6565
-0.5667,-1.1475,-0.1309,-31.4656,-36.4809,13.3130
-0.5593,-1.1741,-0.1216,-27.9389,-34.7176,13.8321
-0.5493,-1.1943,-0.1189,-24.4275,-31.4886,14.3969
-0.5364,-1.2012,-0.1169,-20.8855,-27.2519,14.7939
-0.5369,-1.2078,-0.1174,-17.5344,-22.3893,15.2748
-0.5251,-1.2180,-0.1196,-14.0992,-17.3588,15.9160
-0.5239,-1.2170,-0.1252,-10.9466,-13.0153,16.6107
-0.5112,-1.2026,-0.1304,-7.9771,-9.0382,17.4122
-0.4990,-1.1816,-0.1372,-5.3282,-5.6107,18.5267
-0.4912,-1.1270,-0.1428,-3.0458,-2.8626,19.6412
-0.4829,-1.0793,-0.1394,-1.5191,-0.4198,21.0076
-0.4832,-1.0156,-0.1309,-0.5115,1.7710,22.3053
-0.4717,-0.9592,-0.1191,0.0840,4.0229,23.4733
-0.4646,-0.9045,-0.1179,0.1908,6.4198,24.5114
-0.4641,-0.8586,-0.1240,-0.1908,9.2824,25.3969
-0.4556,-0.8521,-0.1350,-0.6412,15.1832,26.1069
-0.4346,-0.8545,-0.1628,-1.6870,23.3359,26.4809
-0.4424,-0.8767,-0.2017,-2.7176,31.6718,26.7939
-0.4871,-0.9131,-0.2439,-3.2748,37.6183,27.4504
-0.5525,-0.9534,-0.2864,-2.9389,39.7023,27.9008
-0.6013,-0.9929,-0.3223,-1.6260,38.7939,27.9847
-0.6223,-1.0132,-0.3887,0.4275,35.6489,27.9542
-0.6562,-1.0105,-0.4661,2.6641,31.1145,27.9924
-0.6685,-0.9937,-0.5388,4.3664,26.1527,28.0840
-0.6621,-0.9514,-0.5981,5.1679,21.5038,28.7328
-0.6350,-0.9072,-0.6211,4.6336,16.7939,29.4275
-0.6113,-0.8738,-0.6182,2.9924,11.7634,30.1756
-0.5906,-0.8438,-0.6030,0.6107,7.3817,31.1908
-0.5798,-0.8184,-0.5947,-2.1145,3.7939,32.0458
-0.5637,-0.7886,-0.5867,-5.1450,1.7328,32.3969
-0.5452,-0.7559,-0.5791,-8.3053,1.7481,32.4046
-0.5251,-0.7261,-0.5774,-11.5496,3.0534,32.4046
-0.4949,-0.6873,-0.5850,-14.8397,4.9466,32.0458
-0.4673,-0.6479,-0.5818,-18.1450,7.1298,31.2977
-0.4431,-0.6143,-0.6001,-21.0840,8.5725,30.3817
-0.4336,-0.5876,-0.5979,-24.0305,8.4122,29.5802
