ax,ay,az,gx,gy,gz
-0.2129,-0.5159,0.0276,-9.5267,-15.1756,-4.5344
-0.1990,-0.5374,0.0012,-6.8855,-13.9771,-5.0153
-0.1917,-0.5425,-0.0122,-4.0305,-11.8244,-5.7939
-0.1958,-0.5554,-0.0339,-1.0000,-8.4962,-6.5878
-0.2168,-0.5723,-0.0518,1.5038,-4.3588,-7.3282
-0.2290,-0.5989,-0.0618,4.0992,0.2443,-8.3511
-0.2412,-0.6335,-0.0803,7.2214,4.5344,-9.8550
-0.2695,-0.6880,-0.1021,10.2519,8.6183,-11.6260
-0.2773,-0.7336,-0.1133,13.2748,12.4351,-13.1221
-0.2664,-0.7637,-0.1243,17.0840,15.3893,-14.8168
-0.3179,-0.7896,-0.1702,20.9618,19.1832,-17.0611
-0.3848,-0.8687,-0.2219,24.2366,24.6718,-20.5267
-0.4663,-0.9958,-0.2852,28.2061,29.8855,-25.5267
-0.6116,-1.1431,-0.3364,32.9542,32.4046,-30.1985
-0.7100,-1.2700,-0.3828,37.1679,32.7939,-32.2366
-0.7363,-1.3577,-0.3987,39.4198,33.5115,-30.7863
-0.6960,-1.3657,-0.4045,38.9313,37.8015,-27.4886
-0.6519,-1.3225,-0.3936,36.1756,45.3511,-23.1603
-0.6326,-1.2791,-0.3459,33.4198,53.1985,-19.0000
-0.6169,-1.2642,-0.3015,31.5573,58.6565,-15.7710
-0.6038,-1.2476,-0.2607,30.9924,61.5878,-13.7481
-0.5942,-1.2188,-0.2307,31.0305,62.4198,-12.8168
-0.6086,-1.1660,-0.2156,31.1832,63.3969,-12.2519
-0.6143,-1.1177,-0.2151,30.8168,64.6412,-11.5038
-0.6194,-1.0706,-0.2258,30.6107,64.9084,-11.0458
-0.6272,-1.0183,-0.2324,30.4275,64.1298,-11.0382
-0.6147,-0.9473,-0.2573,29.6336,62.2977,-11.2137
-0.5833,-0.8645,-0.2551,28.2977,59.4504,-11.8321
-0.5564,-0.7908,-0.2522,26.8626,56.3588,-13.0076
-0.5244,-0.7302,-0.2410,25.7328,52.9771,-14.3130
-0.4797,-0.6858,-0.2180,25.1603,49.0687,-15.7557
-0.4387,-0.6382,-0.2000,25.2595,45.2290,-17.5344
-0.3887,-0.5920,-0.1975,25.4275,42.3206,-19.3282
-0.3481,-0.5632,-0.1975,25.8015,40.5038,-21.4809
-0.3027,-0.5535,-0.2131,25.9771,40.3435,-24.0305
-0.2688,-0.5542,-0.2439,26.1527,41.3053,-27.1069
-0.2432,-0.5593,-0.2764,25.6183,42.3282,-30.4809
-0.2222,-0.5654,-0.3066,24.8092,43.5725,-34.9160
-0.2078,-0.5625,-0.3303,23.4122,45.2137,-39.7863
-0.1921,-0.5596,-0.3330,21.6794,46.4504,-44.9160
-0.1833,-0.5642,-0.3340,19.5649,47.9313,-50.0992
-0.1748,-0.5791,-0.3271,17.4733,48.6947,-54.9237
-0.1663,-0.5942,-0.3193,15.5496,49.1298,-60.3740
-0.1633,-0.6208,-0.3057,13.7328,48.9542,-65.4885
-0.1631,-0.6489,-0.2832,12.2443,47.6794,-70.4122
