ax,ay,az,gx,gy,gz
-0.3997,-0.7642,-0.2148,-6.4122,-2.3282,-8.1527
-0.4087,-0.7627,-0.2151,-7.9008,-7.9389,-9.2061
-0.4155,-0.7625,-0.2185,-9.5954,-14.1221,-10.1756
-0.4126,-0.7590,-0.2271,-11.5344,-20.5191,-10.8168
-0.4148,-0.7766,-0.2310,-13.7634,-26.7710,-11.4733
-0.4062,-0.8064,-0.2290,-15.9771,-32.9008,-12.2901
-0.4136,-0.8442,-0.2393,-18.1527,-39.4427,-13.1145
-0.4229,-0.8882,-0.2500,-20.2366,-45.8473,-14.2901
-0.4268,-0.9211,-0.2725,-21.9847,-51.7634,-15.9160
-0.4307,-0.9438,-0.2839,-23.3588,-57.4504,-17.6870
-0.4155,-0.9512,-0.2966,-24.2824,-62.4962,-18.8473
-0.3953,-0.9565,-0.3074,-25.3282,-66.0305,-19.6031
-0.3774,-0.9695,-0.3105,-26.4809,-67.9389,-20.2061
-0.3677,-0.9939,-0.3159,-27.3588,-68.5878,-20.5878
-0.3645,-1.0439,-0.3264,-28.0229,-68.2214,-21.2214
-0.3740,-1.1047,-0.3506,-28.2977,-67.4427,-21.8015
-0.3999,-1.1917,-0.3755,-28.3817,-66.4885,-22.0992
-0.4255,-1.2686,-0.3923,-27.8473,-65.5038,-22.4962
-0.4507,-1.3027,-0.4045,-26.7786,-65.8321,-22.4427
-0.4443,-1.2830,-0.4131,-25.5573,-66.2748,-21.4351
-0.4404,-1.2366,-0.4114,-25.2366,-66.4580,-19.9771
-0.4412,-1.1968,-0.4082,-25.5649,-66.5115,-18.0840
-0.4163,-1.1621,-0.3931,-26.4504,-67.3588,-15.7023
-0.3997,-1.1406,-0.3757,-27.1756,-68.5191,-13.2595
-0.3794,-1.1240,-0.3577,-27.9160,-69.0305,-10.4504
-0.3630,-1.0972,-0.3442,-28.6260,-69.7939,-7.4046
-0.3489,-1.0728,-0.3262,-29.3130,-69.8550,-4.3893
-0.3372,-1.0454,-0.3132,-30.0076,-69.8702,-0.9924
-0.3262,-1.0244,-0.3042,-30.7176,-69.9237,2.0840
-0.3657,-0.9265,-0.2576,-32.2366,-74.0992,14.6870
-0.3630,-0.9072,-0.2520,-32.0992,-74.9466,15.9237
-0.3716,-0.9011,-0.2507,-32.1298,-75.3359,17.0840
-0.3782,-0.8994,-0.2417,-31.9389,-75.9084,18.4122
-0.3813,-0.9097,-0.2405,-31.5344,-76.7863,19.4962
-0.3950,-0.9185,-0.2383,-31.0916,-77.2672,20.6107
-0.4028,-0.9333,-0.2407,-30.1298,-77.8931,21.7557
-0.3904,-0.9414,-0.2371,-28.7863,-78.1985,23.2290
-0.3743,-0.9543,-0.2500,-27.1221,-77.6870,24.6183
-0.3787,-0.9685,-0.2649,-25.5878,-75.9542,26.2290
-0.3774,-0.9802,-0.2805,-24.2137,-72.9466,28.0305
-0.3745,-0.9861,-0.2942,-22.6565,-69.6870,30.4580
-0.3823,-0.9922,-0.3186,-21.1374,-65.9618,33.0076
-0.3906,-0.9946,-0.3286,-19.7557,-62.1908,35.5878
-0.4023,-0.9863,-0.3367,-18.4122,-59.2290,37.9771
-0.3987,-0.9829,-0.3328,-17.2824,-56.3969,39.8397
-0.3997,-0.9761,-0.3271,-16.2214,-53.7786,41.3588
-0.4075,-0.9775,-0.3135,-15.2061,-51.3053,42.3130
-0.4141,-0.9731,-0.3083,-14.0611,-49.2519,43.2748
-0.4116,-0.9644,-0.2957,-13.1450,-47.3435,44.2443
-0.4089,-0.9600,-0.2886,-12.3206,-45.3817,45.0305
-0.4050,-0.9556,-0.2832,-11.4427,-43.2519,45.6260
-0.4001,-0.9519,-0.2629,-10.8092,-41.1756,46.1374
-0.4011,-0.9551,-0.2561,-9.9084,-39.5038,46.2748
-0.3940,-0.9556,-0.2524,-9.0229,-37.9695,46.3282
