ax,ay,az,gx,gy,gz
0.0256,-0.3938,-0.1157,-7.3740,-13.0458,14.5878
0.0234,-0.3162,-0.1248,-9.8855,-13.4580,5.9160
0.0129,-0.3313,-0.1370,-11.6565,-14.4504,-3.0687
0.0068,-0.3313,-0.1384,-13.2443,-15.5344,-12.1221
-0.0049,-0.3762,-0.1389,-15.2137,-16.3817,-22.8626
-0.0117,-0.4062,-0.1343,-17.0382,-16.8702,-33.1145
-0.0271,-0.4155,-0.1321,-18.7939,-16.8550,-43.0916
-0.0391,-0.4597,-0.1272,-21.1908,-16.9237,-53.9008
-0.0474,-0.4966,-0.1118,-23.5954,-17.0840,-64.2061
-0.0667,-0.5352,-0.0923,-25.9618,-17.4886,-74.4580
-0.0820,-0.5747,-0.0786,-27.9695,-18.0229,-83.9237
-0.0916,-0.6299,-0.0720,-30.5802,-18.8550,-92.8626
-0.0916,-0.7126,-0.0598,-33.4046,-19.4351,-101.3817
-0.1169,-0.8013,-0.0410,-35.8855,-20.4046,-109.7252
-0.1414,-0.8877,-0.0183,-38.2443,-22.1679,-117.6870
-0.1646,-0.9946,0.0146,-40.4122,-24.6031,-124.9847
-0.1877,-1.1172,0.0579,-42.3511,-27.5573,-131.7710
-0.2212,-1.2478,0.0999,-43.6565,-31.0382,-137.9160
-0.2664,-1.3750,0.1411,-44.6107,-35.6183,-143.0458
-0.3115,-1.4929,0.1919,-44.7863,-40.3053,-147.0153
-0.3669,-1.6548,0.2480,-44.4885,-45.4656,-150.3206
-0.3704,-1.7158,0.2915,-43.2748,-49.7023,-150.7481
-0.4250,-1.7952,0.3386,-40.9466,-53.0305,-149.8015
-0.4558,-1.8298,0.3728,-37.5802,-56.2595,-145.9466
-0.4551,-1.8545,0.3835,-33.6718,-57.9160,-140.0763
-0.4060,-1.8816,0.3538,-29.8168,-56.7176,-133.5725
-0.3364,-1.9414,0.2949,-27.1603,-52.6412,-126.8397
-0.2378,-2.0410,0.2202,-24.5191,-44.5573,-119.3435
-0.1506,-2.0837,0.1367,-22.8931,-32.9237,-112.8931
-0.1401,-2.0642,0.0725,-22.7634,-19.7557,-106.8168
-0.1975,-1.9641,0.0566,-24.1985,-6.7176,-100.5954
-0.3162,-1.8169,0.1025,-27.2977,3.7252,-93.2977
-0.4182,-1.6619,0.1909,-30.9237,12.6489,-85.4122
-0.5549,-1.4766,0.2920,-35.2672,18.2748,-74.8473
-0.6567,-1.2947,0.3882,-38.8702,20.8779,-64.3817
-0.7888,-1.1228,0.4668,-42.1450,17.6336,-53.1908
-0.8835,-0.9712,0.5142,-43.7023,7.6260,-41.3740
-0.9097,-0.8582,0.5139,-44.2214,-6.4198,-29.4427
-0.8882,-0.7952,0.4729,-43.9847,-22.6260,-17.2977
-0.8311,-0.7644,0.4365,-43.2290,-37.5267,-5.3664
-0.7693,-0.7466,0.4224,-41.8931,-48.9008,5.8015
-0.7019,-0.7300,0.4246,-40.6565,-57.6641,16.8092
-0.6265,-0.7563,0.4368,-38.7328,-61.4580,26.1221
-0.5566,-0.7817,0.4397,-36.2214,-61.6718,34.6412
-0.5063,-0.8059,0.4536,-33.7634,-59.6718,41.2061
-0.4641,-0.8372,0.4590,-31.0458,-55.6565,46.5802
-0.4099,-0.8745,0.4707,-28.5038,-51.0076,49.8321
-0.2800,-0.9512,0.6082,-23.2595,-42.5649,50.9847
-0.0552,-0.9553,0.7251,-17.6870,-31.6489,47.5420
0.1853,-1.0005,1.0366,-6.6412,-20.4886,40.8626
0.3235,-0.9829,1.0955,2.6870,-14.1145,34.7557
0.3223,-0.9761,1.0894,12.3359,-17.5649,30.1908
0.4524,-0.9626,1.0728,23.1145,-21.7863,25.6947
0.5017,-0.9141,0.9031,27.2061,-22.4504,19.5496
0.3367,-0.8950,0.7646,28.3740,-16.1985,16.0458
0.0144,-0.9121,0.6121,27.0992,-9.7863,17.9313
-0.1960,-0.9453,0.5498,26.4504,-10.8321,19.3511
-0.2786,-0.9976,0.4888,27.0534,-18.0916,18.2214
-0.2483,-1.0537,0.4607,28.3435,-26.3130,17.5725
-0.1377,-1.0925,0.4766,29.6947,-25.7481,17.0992
-0.1558,-1.0894,0.4492,30.0763,-20.6870,19.1985
-0.1147,-1.0884,0.4233,30.8244,-13.5878,22.2595
-0.0979,-1.0955,0.3982,31.2137,-4.3893,24.6489
-0.0747,-1.1091,0.3713,31.7481,6.7252,27.0840
-0.0730,-1.0994,0.3479,32.1374,20.5954,29.5649
-0.1018,-1.0852,0.3210,32.6412,33.8244,32.6565
-0.1685,-1.0842,0.2871,33.1298,45.0000,36.2672
-0.2310,-1.0657,0.2515,34.0229,53.2824,40.3130
-0.3008,-1.0457,0.2163,35.0840,57.9313,44.4198
-0.3318,-1.0078,0.1729,35.9771,59.2672,49.0076
-0.3528,-0.9568,0.1318,36.2137,58.2748,53.0840
-0.3455,-0.9141,0.0916,36.0153,56.2137,57.1679
-0.3220,-0.8650,0.0596,35.0458,53.4656,60.7786
-0.3169,-0.8403,0.0381,33.8397,51.0000,63.4580
-0.2876,-0.7803,0.0193,31.7786,48.1832,65.6260
-0.2644,-0.7581,0.0000,29.3588,45.7099,66.9542
