ax,ay,az,gx,gy,gz
-0.5237,-0.9597,-0.2146,45.0153,-53.7786,-19.1985
-0.5544,-0.9006,-0.2380,45.3359,-62.4198,-19.7176
-0.5352,-0.8474,-0.2632,44.7634,-71.3588,-20.6947
-0.4434,-0.7834,-0.2805,44.0458,-76.9008,-22.9084
-0.3499,-0.7109,-0.2778,42.3817,-78.9160,-26.6107
-0.2190,-0.6382,-0.2363,39.5878,-73.3664,-32.3206
-0.0825,-0.6362,-0.1602,38.2366,-56.0840,-35.8473
-0.0769,-0.5740,-0.0632,35.5267,-34.8473,-36.4427
-0.1389,-0.6091,-0.0027,32.6870,-16.3053,-36.5420
-0.1506,-0.6646,0.1323,32.8321,1.2061,-35.6947
-0.2017,-0.6851,0.1724,33.4580,13.9466,-36.3435
-0.2485,-0.7039,0.1831,35.1374,23.4275,-36.3282
-0.2856,-0.7271,0.1589,37.3359,31.3053,-37.1832
-0.3455,-0.7539,0.1155,39.3130,37.0763,-38.1221
-0.3892,-0.8057,0.0596,41.5267,40.8626,-39.5267
-0.4053,-0.8721,0.0156,44.1298,42.9771,-41.7252
-0.4238,-0.9446,-0.0146,47.6107,43.2290,-44.3664
-0.4341,-1.0212,-0.0452,51.4580,41.8321,-47.8550
-0.4417,-1.1072,-0.0569,55.6031,39.3435,-51.6565
-0.4612,-1.2065,-0.0571,60.1985,36.5725,-55.2290
-0.4744,-1.3037,-0.0574,65.0382,34.6412,-58.6794
-0.4656,-1.4202,-0.0596,69.5802,34.8092,-61.4656
-0.4434,-1.5596,-0.0732,74.1374,37.1374,-63.5954
-0.4207,-1.6682,-0.1067,77.9160,42.5725,-64.8626
-0.3945,-1.7195,-0.1648,80.2748,51.5573,-64.7786
-0.3682,-1.7014,-0.2268,80.8931,64.0229,-63.3664
-0.3596,-1.5898,-0.2915,79.5725,79.4962,-59.7710
-0.3591,-1.4285,-0.3323,75.7939,96.2366,-54.4962
-0.3762,-1.3015,-0.3396,70.1069,111.9618,-47.8550
-0.4070,-1.1985,-0.3235,63.7710,124.6870,-40.3817
-0.4614,-1.1252,-0.2964,57.0000,131.9847,-32.8702
-0.5264,-1.0659,-0.2524,50.4809,132.1221,-25.9542
-0.6074,-1.0112,-0.2314,44.5649,125.0611,-19.7710
-0.6714,-0.9436,-0.2346,38.9847,112.0916,-14.2061
-0.7061,-0.9028,-0.2571,33.4580,95.0840,-8.6870
-0.7268,-0.8516,-0.2881,28.0458,74.3969,-3.3282
