ax,ay,az,gx,gy,gz
-0.1335,-1.3958,-0.5234,32.3969,44.9466,-44.4351
0.0225,-1.9912,-0.7358,38.2824,64.0076,-50.3359
0.1543,-2.4600,-0.8967,40.4275,81.8779,-54.0229
0.1421,-2.5508,-1.0698,35.3588,99.4275,-52.9695
-0.0396,-2.3721,-1.1858,23.9313,118.2366,-46.7710
-0.2087,-2.2881,-1.1230,12.2748,127.7405,-37.0305
-0.2888,-2.2610,-0.9236,6.0611,120.8931,-24.9695
-0.2095,-2.1826,-0.7004,5.5191,103.6718,-13.2824
-0.0217,-2.0352,-0.5308,5.8931,88.8015,-4.4351
0.0601,-1.8979,-0.4033,4.2824,81.2443,2.9008
0.1936,-1.7959,-0.3437,-0.3511,80.3740,10.7252
0.2842,-1.6787,-0.3064,-7.2519,82.8855,17.3740
0.2378,-1.5645,-0.2874,-14.5954,87.3740,22.8779
0.1194,-1.4792,-0.2876,-20.7557,88.8321,26.1756
-0.0083,-1.3970,-0.2983,-24.3359,84.9313,26.9695
-0.1082,-1.2959,-0.2874,-25.5496,76.3359,26.2214
-0.1721,-1.1584,-0.2461,-24.4122,65.7481,25.2443
-0.1833,-1.0054,-0.2297,-22.7099,55.7176,25.0305
-0.2019,-0.8657,-0.2141,-20.8092,49.2672,27.0992
-0.1873,-0.7922,-0.1912,-19.7863,45.4580,31.0229
-0.1743,-0.7544,-0.1904,-19.0076,43.8626,34.9695
-0.1975,-0.7378,-0.1592,-17.4198,41.3588,39.1527
-0.2158,-0.7131,-0.1152,-13.7786,36.6336,42.6718
-0.2163,-0.6797,-0.0781,-8.7634,28.7099,44.2137
-0.2014,-0.6494,-0.0081,-1.8702,19.5191,44.4885
-0.1343,-0.6042,0.0288,6.8550,11.5954,44.1221
-0.0156,-0.5449,0.0356,14.0382,7.5344,42.7710
0.1240,-0.4409,0.0359,19.5420,6.8855,40.1450
0.1853,-0.3296,0.0159,22.6260,10.5496,37.1756
0.2437,-0.2249,0.0078,23.5191,16.9695,34.3435
0.2722,-0.1379,-0.0020,23.1069,24.5725,31.1450
