ax,ay,az,gx,gy,gz
-0.6084,-1.8101,0.2214,45.8092,14.2214,-149.2137
-0.6384,-1.7832,0.1755,50.1756,13.9084,-145.0916
-0.6665,-1.6802,0.1084,53.2443,14.2443,-137.6947
-0.6558,-1.5928,0.0215,54.7863,15.9008,-128.7099
-0.6130,-1.5249,-0.0608,54.9008,17.8473,-117.8550
-0.5415,-1.4390,-0.1423,53.2901,21.6412,-105.8931
-0.5000,-1.3762,-0.1721,50.3893,26.9466,-94.2901
-0.4944,-1.3289,-0.1685,46.7863,32.7176,-82.5802
-0.5195,-1.2864,-0.1545,42.7710,37.8168,-70.9313
-0.5342,-1.2537,-0.1360,38.8244,41.9695,-59.7634
-0.5325,-1.1863,-0.1267,34.3817,45.8397,-49.3359
-0.5193,-1.1826,-0.1194,29.5878,49.6336,-40.2290
-0.4983,-1.1614,-0.1289,25.0687,53.0763,-31.8473
-0.4973,-1.1514,-0.1470,20.4275,56.7176,-25.0382
-0.5039,-1.1411,-0.1621,16.4656,59.8092,-19.2595
-0.5151,-1.1226,-0.1865,13.1527,61.3740,-14.9542
-0.5188,-1.1206,-0.1968,10.8473,61.5038,-12.3359
-0.5300,-1.1345,-0.2080,9.7328,59.6565,-11.1832
-0.5581,-1.1533,-0.2097,9.9771,55.4046,-11.0992
-0.5754,-1.1958,-0.2163,11.6183,49.1145,-12.4809
-0.5830,-1.2400,-0.2341,14.3053,41.6641,-14.5344
-0.5916,-1.2856,-0.2683,17.6260,33.7481,-16.9389
-0.6096,-1.3115,-0.3042,21.2061,25.9466,-19.4427
-0.6243,-1.3044,-0.3508,24.2366,19.3282,-21.1756
-0.6216,-1.2681,-0.3867,26.4580,14.5344,-22.3206
-0.5845,-1.2075,-0.4097,27.1527,12.7481,-22.3053
-0.5522,-1.1467,-0.4160,26.4809,14.3359,-21.2748
-0.5266,-1.0828,-0.4114,24.3511,18.6183,-18.8092
-0.5239,-1.0281,-0.3853,21.3664,23.9237,-15.6183
-0.5129,-0.9712,-0.3591,17.5114,29.8702,-11.4962
-0.5132,-0.9038,-0.3284,12.8473,35.9008,-7.0076
-0.5239,-0.8606,-0.3040,8.0153,40.8931,-2.0076
-0.5264,-0.8154,-0.2827,2.9313,45.0916,3.3435
-0.5364,-0.7808,-0.2798,-2.2977,47.9084,8.8931
-0.5425,-0.7534,-0.2844,-7.2366,49.0153,14.1832
-0.5503,-0.7463,-0.2991,-11.8855,48.0992,19.3053
