ax,ay,az,gx,gy,gz
-0.3655,-1.0339,-0.1013,-20.4733,-25.8931,12.7328
-0.3657,-1.0435,-0.1079,-20.3664,-28.8550,13.6641
-0.3723,-1.0415,-0.1055,-20.3893,-32.4275,14.6718
-0.3694,-1.0061,-0.0974,-20.5573,-35.3359,15.8702
-0.3503,-0.9812,-0.0930,-21.0840,-36.5649,17.5344
-0.3386,-0.9631,-0.0913,-21.9924,-36.5496,19.8702
-0.3110,-0.9663,-0.0818,-23.0611,-34.2519,22.4733
-0.3149,-1.0085,-0.0872,-24.4046,-30.2137,24.6641
-0.3721,-1.0586,-0.0845,-25.5725,-26.6947,26.4733
-0.4497,-1.1047,-0.0828,-26.1603,-26.7328,27.9771
-0.5217,-1.1433,-0.1042,-25.8550,-29.0916,29.3817
-0.6074,-1.2100,-0.1025,-24.7786,-32.0916,29.2137
-0.6633,-1.2256,-0.1162,-23.0992,-37.3511,28.8168
-0.6743,-1.1831,-0.1338,-21.7099,-42.7405,28.6412
-0.6753,-1.1462,-0.1763,-21.3664,-47.9237,28.8473
-0.6638,-1.1357,-0.2144,-22.0763,-51.8015,29.9237
-0.6255,-1.1208,-0.2427,-23.2595,-52.8550,31.8626
-0.5930,-1.0906,-0.2476,-24.6107,-51.2748,35.6107
-0.5620,-1.0386,-0.2468,-25.8855,-46.8092,40.3053
-0.5964,-0.9807,-0.2429,-27.4351,-40.5878,45.9389
-0.6858,-0.9370,-0.2202,-29.0611,-37.1450,52.1908
-0.7495,-0.9175,-0.2087,-30.0000,-38.0840,58.9084
-0.8201,-0.9302,-0.2104,-30.5649,-40.3511,65.3740
-0.8845,-0.9482,-0.2393,-31.2290,-42.2214,72.1298
-0.9358,-0.9790,-0.2717,-31.7481,-46.1221,79.4046
-0.9636,-1.0005,-0.3013,-32.2137,-50.6031,86.0382
-0.9595,-1.0027,-0.3293,-32.3511,-52.7481,89.1069
-0.9688,-0.9883,-0.3376,-32.6183,-52.8626,94.5573
-0.9495,-0.9429,-0.3267,-33.2595,-51.8855,98.8931
-0.9414,-0.8745,-0.3057,-33.4351,-49.9847,102.4275
-0.9487,-0.7903,-0.2893,-33.8931,-46.7863,105.1756
-0.9548,-0.7141,-0.2522,-35.1221,-42.9924,108.0229
-0.9380,-0.6401,-0.2153,-36.2290,-39.8626,110.7863
-0.9316,-0.5811,-0.2180,-36.8244,-37.6412,112.3282
-0.9463,-0.5383,-0.2275,-37.9847,-34.3359,113.2595
-0.9094,-0.5146,-0.2026,-39.1756,-31.5496,113.8168
-0.9177,-0.4714,-0.2053,-40.1756,-30.2290,114.2672
-0.9307,-0.4331,-0.1987,-41.0153,-30.0229,114.4962
