ax,ay,az,gx,gy,gz
-0.3853,-0.9675,-0.5105,6.5802,-9.2214,-37.6260
-0.4238,-1.0076,-0.5168,5.5878,-2.7557,-36.8855
-0.4668,-1.0103,-0.5222,4.8702,2.5115,-34.9924
-0.5164,-1.0347,-0.5242,4.0611,5.3511,-32.7023
-0.5549,-1.0461,-0.5151,3.7634,5.4046,-29.8244
-0.5859,-1.0605,-0.4961,3.8702,3.5496,-27.0382
-0.6008,-1.0752,-0.4707,4.2519,-0.1450,-24.2748
-0.6013,-1.0762,-0.4326,4.5420,-5.1679,-21.7328
-0.5896,-1.0833,-0.4070,4.7481,-10.4122,-19.6641
-0.5659,-1.0798,-0.3792,4.4962,-14.3664,-17.7023
-0.5312,-1.0757,-0.3594,3.6870,-16.4427,-15.8702
-0.5059,-1.0593,-0.3289,2.2061,-16.4122,-13.9771
-0.4888,-1.0437,-0.3137,-0.2595,-15.1450,-11.8473
-0.4810,-1.0234,-0.3018,-3.3282,-13.0305,-9.8855
-0.4915,-0.9958,-0.2915,-6.3435,-11.4504,-7.8168
-0.4995,-0.9763,-0.2817,-9.2061,-10.8626,-6.2748
-0.5117,-0.9521,-0.2585,-11.6260,-11.3511,-5.0382
-0.5247,-0.9290,-0.2390,-13.6565,-12.7710,-4.2595
-0.5303,-0.9175,-0.2288,-15.0229,-15.3435,-3.7328
-0.5317,-0.8992,-0.2061,-15.9542,-18.0000,-3.5420
-0.5374,-0.8835,-0.2002,-16.6565,-20.4809,-3.4351
-0.5308,-0.8760,-0.1951,-17.0840,-22.6107,-3.3359
-0.5190,-0.8645,-0.1926,-17.6260,-24.0687,-3.2595
-0.5115,-0.8555,-0.1885,-17.6031,-24.9237,-3.1756
-0.5134,-0.8560,-0.1868,-17.4046,-25.0687,-2.6107
-0.5352,-0.8525,-0.1826,-16.8015,-26.0153,-1.7405
-0.5195,-0.8594,-0.1731,-15.7710,-26.4427,-1.2977
-0.5083,-0.8391,-0.1643,-14.5725,-26.6947,-0.6031
-0.5085,-0.8457,-0.1526,-12.9313,-27.4504,0.5649
-0.5266,-0.8550,-0.1365,-11.0076,-29.7710,1.9008
-0.5488,-0.8711,-0.1326,-8.2672,-33.8702,3.6412
-0.5457,-0.8909,-0.1257,-4.9160,-38.0687,4.8015
-0.5278,-0.9290,-0.1257,-1.5802,-40.8473,5.2748
-0.4910,-0.9670,-0.1428,1.5344,-40.9160,5.8626
-0.4026,-1.0154,-0.1516,4.5191,-35.3664,4.6947
-0.3643,-1.0657,-0.1860,6.8015,-25.7863,3.7786
-0.3457,-1.1079,-0.2183,8.0534,-14.9542,3.0992
-0.3206,-1.1204,-0.2463,8.8702,-3.2137,2.6870
-0.2869,-1.1038,-0.2732,8.8779,8.3130,2.5191
-0.2759,-1.0837,-0.2910,8.4275,18.8015,2.9084
-0.2673,-1.0640,-0.3179,8.0229,27.7328,3.6336
-0.2776,-1.0469,-0.3525,7.5573,33.4275,5.3893
-0.2979,-1.0303,-0.3865,7.4580,35.4504,8.0763
-0.3164,-1.0017,-0.4131,7.7939,33.7252,12.0534
-0.3293,-0.9729,-0.4429,8.5191,29.8626,16.0153
-0.3210,-0.9524,-0.4683,9.0382,25.1298,19.4427
-0.2756,-0.9373,-0.4807,9.3817,21.9008,21.7099
-0.2292,-0.9226,-0.4751,9.2824,20.9847,23.0382
-0.2046,-0.9019,-0.4539,8.9237,22.6718,23.9084
-0.1846,-0.8872,-0.4263,8.5267,26.1145,24.4427
-0.1777,-0.8706,-0.3994,8.1145,31.5114,24.6489
-0.1809,-0.8616,-0.3733,7.8702,37.0153,24.6870
-0.1914,-0.8481,-0.3643,8.0687,43.2672,24.3282
-0.2134,-0.8311,-0.3523,8.5115,49.2061,23.8626
-0.2395,-0.8130,-0.3550,9.4122,54.0229,23.0763
-0.2668,-0.7966,-0.3628,10.6412,57.7023,21.9771
-0.2864,-0.7717,-0.3777,12.1985,59.8779,20.9008
-0.2964,-0.7554,-0.3972,13.6031,60.8092,19.4733
-0.3110,-0.7432,-0.4248,15.3740,60.8779,18.0458
-0.3040,-0.7263,-0.4573,16.9160,60.8473,16.2901
-0.2920,-0.7246,-0.5061,18.4656,62.1069,14.0000
-0.2732,-0.7212,-0.5703,19.0305,65.8015,11.6107
-0.2747,-0.7148,-0.6296,19.1145,68.6412,9.0763
-0.2871,-0.7092,-0.6875,18.8702,70.1221,7.1221
-0.3105,-0.7187,-0.7473,18.4580,70.4351,5.5802
-0.3345,-0.7222,-0.8215,17.5954,70.2824,4.3893
-0.3447,-0.7170,-0.8862,16.3969,69.6641,3.8015
-0.3633,-0.7310,-0.9368,14.4962,67.9084,2.8626
-0.3894,-0.7485,-0.9722,12.5725,64.5878,3.7405
-0.3967,-0.7612,-1.0125,10.3969,61.7328,4.1679
-0.4084,-0.7620,-1.0364,7.8779,58.0611,5.1145
-0.4402,-0.7502,-1.0371,5.1145,52.2824,6.3130
-0.4407,-0.7361,-1.0134,2.6641,45.4733,7.7939
-0.4329,-0.7119,-0.9871,-0.0611,39.6031,9.1450
-0.4309,-0.6731,-0.9453,-2.8397,34.3359,10.0916
-0.4377,-0.6406,-0.8972,-5.6489,29.2748,11.0687
-0.4553,-0.6221,-0.8367,-7.7786,24.4427,11.7328
-0.4692,-0.5945,-0.7812,-9.6183,20.1603,11.7557
-0.4800,-0.5808,-0.7307,-11.0305,16.3359,11.1985
-0.4976,-0.5627,-0.6885,-12.0153,13.8168,10.1069
-0.5188,-0.5562,-0.6624,-12.6794,11.7557,8.5649
-0.5569,-0.5525,-0.6492,-13.1603,9.6183,6.7557
-0.5996,-0.5547,-0.6401,-13.0534,6.6641,4.9847
-0.6375,-0.5647,-0.6538,-12.5344,1.9924,3.0687
-0.6353,-0.5796,-0.6802,-12.0305,-3.3893,1.5267
-0.5859,-0.5879,-0.7134,-11.6565,-8.0000,0.7786
-0.5259,-0.5957,-0.7451,-11.4733,-11.0382,0.2443
-0.4915,-0.6194,-0.7732,-11.7099,-13.7023,0.0763
-0.4553,-0.6348,-0.7810,-11.9847,-16.3740,-0.2519
-0.4290,-0.6567,-0.7773,-11.9847,-19.2672,-0.6718
-0.3916,-0.6638,-0.7551,-11.8397,-22.1145,-0.9389
-0.3547,-0.6704,-0.7380,-11.6183,-24.8168,-1.2290
-0.3135,-0.6824,-0.7166,-11.1756,-26.4427,-1.9237
-0.2766,-0.6865,-0.6990,-11.0458,-26.7710,-2.7786
-0.2488,-0.6919,-0.6792,-11.2061,-25.5344,-3.2595
-0.2407,-0.6843,-0.6560,-11.7481,-24.0458,-3.6183
-0.2441,-0.6772,-0.6360,-12.4504,-22.4198,-3.7939
-0.2739,-0.6792,-0.6062,-13.0305,-20.9389,-3.5420
-0.2993,-0.6860,-0.5862,-13.4198,-18.9618,-3.2061
-0.3206,-0.6836,-0.5654,-13.7099,-17.2443,-3.0000
-0.3335,-0.6741,-0.5562,-13.9313,-16.0687,-2.2061
-0.3521,-0.6685,-0.5540,-13.9466,-14.5802,-1.5573
-0.3945,-0.6804,-0.5706,-13.7634,-13.8626,-0.4504
-0.4258,-0.6897,-0.5735,-12.9542,-14.0916,0.7939
-0.4678,-0.6929,-0.5796,-11.9542,-14.8626,1.3053
-0.4805,-0.6804,-0.5972,-10.5573,-17.3282,2.1450
-0.4521,-0.6895,-0.6113,-9.1450,-18.7939,2.1069
-0.4578,-0.7195,-0.6201,-7.3130,-20.1603,1.6336
-0.4663,-0.7686,-0.6201,-5.2061,-21.8779,1.2672
-0.4658,-0.8247,-0.6196,-2.7710,-23.9924,-0.1374
-0.4546,-0.8569,-0.6262,-0.3206,-27.4046,-1.9847
-0.4412,-0.8616,-0.6360,1.3740,-30.2748,-3.5649
-0.4246,-0.8308,-0.6392,2.2137,-31.6260,-4.8244
-0.4246,-0.7942,-0.6704,0.1527,-29.2366,-5.6107
-0.4287,-0.7478,-0.6790,-2.5191,-25.9084,-5.6336
-0.4578,-0.6953,-0.6484,-5.7634,-24.1374,-4.8092
-0.5051,-0.6548,-0.6001,-8.5420,-24.4046,-3.3893
-0.5369,-0.6438,-0.5474,-10.6565,-27.0687,-2.2672
-0.5669,-0.6450,-0.4978,-11.6794,-30.7176,-1.4733
-0.5828,-0.6658,-0.4546,-11.6794,-35.0000,-1.4733
-0.5833,-0.6941,-0.4302,-10.9618,-39.3359,-2.2595
-0.5627,-0.7322,-0.4211,-9.5878,-43.0000,-3.5725
-0.5278,-0.7622,-0.4348,-8.1603,-44.8473,-5.2290
-0.4893,-0.7893,-0.4609,-6.8626,-44.9008,-6.7023
-0.4573,-0.8115,-0.4817,-6.1374,-43.0916,-7.6718
-0.4482,-0.8369,-0.4946,-5.6107,-40.4122,-8.3893
-0.4341,-0.8687,-0.4966,-5.3053,-37.5878,-8.9771
-0.4421,-0.8982,-0.4905,-4.4122,-36.0916,-9.1298
-0.4482,-0.9268,-0.4856,-3.0229,-36.3893,-9.3664
-0.4399,-0.9595,-0.4795,-1.1756,-37.7023,-9.7557
-0.4163,-0.9749,-0.4866,0.5115,-38.3969,-10.1908
-0.3833,-0.9734,-0.4956,1.8473,-37.2977,-10.5802
-0.3481,-0.9663,-0.5168,2.5267,-33.5573,-10.9237
-0.3276,-0.9473,-0.5364,2.5496,-27.8168,-10.6412
-0.3250,-0.9304,-0.5449,2.0305,-21.3817,-9.4046
-0.3459,-0.9148,-0.5422,1.1069,-15.7252,-7.3740
-0.3689,-0.8909,-0.5188,0.0153,-11.8321,-4.8626
-0.4014,-0.8699,-0.4937,-0.8168,-9.1603,-1.9466
-0.4197,-0.8503,-0.4485,-1.5878,-8.0305,1.0840
-0.4326,-0.8301,-0.4065,-1.9695,-7.5802,3.7863
-0.4243,-0.8093,-0.3696,-2.2366,-6.8779,6.3969
-0.4114,-0.7859,-0.3389,-2.4962,-5.8855,8.6260
-0.3970,-0.7690,-0.3181,-2.4733,-4.6336,10.4962
-0.3809,-0.7607,-0.2993,-2.2366,-2.6031,11.9466
-0.3516,-0.7539,-0.2944,-2.1832,1.4351,13.0916
-0.3323,-0.7520,-0.2874,-2.4733,6.7099,14.0458
-0.3242,-0.7473,-0.2932,-2.6794,12.2366,14.9771
-0.3201,-0.7571,-0.2932,-2.7863,17.2214,15.6183
-0.3232,-0.7634,-0.2969,-2.7557,21.3740,15.7328
-0.3289,-0.7781,-0.3103,-2.5802,24.4962,15.6031
-0.3401,-0.8020,-0.3274,-2.2443,26.6412,14.8702
-0.3477,-0.8276,-0.3545,-1.5802,27.9618,13.6565
-0.3530,-0.8384,-0.3804,-0.8855,28.2366,12.1985
-0.3386,-0.8477,-0.4192,-0.4580,28.5573,10.1374
-0.3574,-0.8579,-0.4478,-0.5420,30.1908,8.5115
-0.3604,-0.8643,-0.4771,-0.6870,31.0916,6.9084
-0.3909,-0.8713,-0.4988,-1.1374,31.7939,5.3053
-0.4204,-0.8730,-0.5081,-1.6183,30.8473,4.2366
-0.4443,-0.8772,-0.5188,-2.0000,28.2366,3.1985
-0.4683,-0.8665,-0.5195,-2.1298,24.3817,2.0534
-0.4773,-0.8501,-0.5195,-2.3511,20.3511,0.8321
-0.4707,-0.8347,-0.5129,-2.8092,16.1679,-0.1679
-0.4673,-0.8201,-0.5022,-3.2366,12.2901,-0.9695
-0.4583,-0.8108,-0.4839,-3.5725,9.1985,-1.7481
-0.4622,-0.7986,-0.4597,-3.8702,6.8855,-2.3130
-0.4429,-0.7854,-0.4409,-4.1679,5.5496,-3.0840
-0.4280,-0.7756,-0.4150,-4.2901,4.9847,-3.8244
-0.4233,-0.7529,-0.3984,-4.4885,5.1908,-4.2901
-0.4282,-0.7344,-0.3904,-4.7481,5.8092,-4.6107
-0.4329,-0.7090,-0.3770,-4.8626,6.1908,-4.8168
-0.4380,-0.6880,-0.3640,-5.1527,6.9924,-5.0611
-0.4309,-0.6663,-0.3594,-5.3206,8.5267,-5.3053
-0.4233,-0.6489,-0.3650,-5.4275,10.3282,-5.4885
-0.4109,-0.6343,-0.3770,-5.7634,12.3664,-5.7786
-0.4209,-0.6204,-0.4089,-5.9618,14.6489,-6.2137
-0.4299,-0.6267,-0.4451,-6.3130,16.4962,-6.4962
-0.4375,-0.6318,-0.4890,-6.7710,19.4733,-6.7481
-0.4653,-0.6338,-0.5837,-9.4962,27.4733,-5.8092
-0.5161,-0.8137,-0.7478,-13.6412,-16.8779,26.1374
