ax,ay,az,gx,gy,gz
-0.5352,-0.6348,-0.2566,-29.8855,24.6641,32.0534
-0.6206,-0.6233,-0.2104,-29.5038,35.3282,29.1069
-0.6792,-0.5620,-0.2893,-32.4046,41.0534,29.1756
-0.7661,-0.5684,-0.3357,-33.2214,43.5878,29.4046
-0.7891,-0.5757,-0.3916,-32.8550,37.5573,28.9237
-0.7673,-0.6072,-0.5010,-32.4656,26.2443,28.0840
-0.7520,-0.5937,-0.6018,-32.0687,14.5115,26.3664
-0.6760,-0.5994,-0.6860,-32.1756,6.0458,23.5573
-0.5730,-0.5923,-0.7598,-33.1145,1.4122,21.0611
-0.4961,-0.6057,-0.7983,-34.7023,3.4427,17.0305
-0.5000,-0.6008,-0.8103,-36.5649,4.1450,14.6336
-0.5491,-0.6101,-0.8169,-38.0611,2.6718,13.4275
-0.5664,-0.6287,-0.8245,-39.2214,0.5573,11.8397
-0.5605,-0.6335,-0.8359,-40.1145,-1.6718,10.4733
-0.5229,-0.6475,-0.8401,-40.3435,-4.9237,8.7939
-0.4844,-0.6611,-0.8118,-39.6718,-7.9847,7.0153
-0.4492,-0.6738,-0.8052,-38.6641,-10.3359,5.0611
-0.4221,-0.6851,-0.7803,-37.4656,-12.6794,2.8626
-0.4216,-0.6943,-0.7666,-35.9084,-14.8244,0.8626
-0.4309,-0.6904,-0.7373,-34.3893,-16.8626,-1.5191
-0.4690,-0.6863,-0.6970,-32.7023,-20.2290,-3.1756
-0.5264,-0.6958,-0.6294,-29.7710,-25.9924,-3.5725
-0.5947,-0.6931,-0.5723,-25.9160,-32.3588,-3.1985
-0.6040,-0.6980,-0.5261,-21.2901,-33.9237,-3.8015
-0.5930,-0.7070,-0.5198,-16.5191,-31.6565,-5.7710
-0.5771,-0.7288,-0.5356,-13.0305,-26.7252,-8.2977
-0.5769,-0.7546,-0.5627,-10.1527,-20.2519,-11.2901
-0.6008,-0.7717,-0.6157,-8.1145,-14.6794,-14.4656
-0.6504,-0.8047,-0.6516,-6.0382,-10.3664,-17.1145
-0.6792,-0.8379,-0.6560,-3.7328,-9.0382,-19.8931
-0.7073,-0.8340,-0.6279,-0.7786,-11.9847,-22.2672
-0.7412,-0.8086,-0.5762,1.6641,-19.5344,-23.5344
-0.7283,-0.7676,-0.5115,3.6107,-29.6183,-24.1985
