ax,ay,az,gx,gy,gz
-0.6294,-1.2102,0.7100,-70.8092,-106.0611,-78.7557
-0.5759,-1.3125,0.5532,-65.1298,-99.1221,-71.2901
-0.0396,-1.4153,0.8477,-53.8244,-61.7786,-66.7405
-0.4497,-1.5159,1.0354,-35.7863,-36.0916,-54.8321
-0.9810,-1.5234,0.8501,-22.5802,-21.1450,-26.2137
-0.7612,-1.5388,1.0413,-0.1603,5.9008,-18.0611
-0.7727,-1.1538,1.0327,17.2290,35.1221,-10.2366
-0.8743,-0.8013,0.8945,21.6565,53.5954,2.6183
-0.5359,-0.7571,0.7224,23.6031,68.3130,11.1908
-0.4685,-0.6355,0.5552,22.5267,71.6107,18.9618
-0.4468,-0.5786,0.4307,19.9695,66.2977,27.7481
-0.4609,-0.5220,0.3518,15.7405,54.0840,33.7176
-0.4075,-0.4958,0.3093,12.0840,42.1985,35.6031
-0.2998,-0.4668,0.2888,8.1679,32.4580,33.9847
-0.2971,-0.4861,0.2744,3.5038,23.2443,32.4885
-0.2893,-0.5159,0.2385,-1.1527,13.6107,30.9924
-0.2878,-0.5449,0.2166,-5.4198,4.4427,28.5420
-0.2910,-0.5820,0.2080,-8.6641,-2.7099,25.5954
-0.2847,-0.6150,0.1980,-11.6565,-7.0153,22.8244
-0.2805,-0.6414,0.2036,-14.1450,-9.3053,19.3893
-0.3215,-0.6985,0.2217,-15.2748,-11.3969,16.6870
-0.3555,-0.6895,0.2134,-16.3130,-12.1374,13.7328
-0.3767,-0.6956,0.2061,-16.9389,-14.2595,10.9084
-0.4102,-0.7097,0.1770,-16.9618,-16.0229,8.1908
-0.4268,-0.7065,0.1606,-17.3130,-18.6336,5.3282
-0.4436,-0.7117,0.1541,-17.2214,-22.0229,3.2290
-0.4548,-0.7251,0.1526,-16.9084,-26.1527,1.7176
-0.4514,-0.7383,0.1494,-16.1679,-30.5496,0.8092
-0.4453,-0.7659,0.1514,-15.1985,-34.1985,0.7405
-0.4421,-0.7739,0.1511,-14.1679,-37.2748,1.2137
-0.4275,-0.7908,0.1428,-13.0763,-39.2366,2.1985
-0.4160,-0.8076,0.1406,-11.8473,-40.3282,3.6870
-0.4065,-0.8223,0.1350,-10.8397,-40.5725,5.5420
-0.3933,-0.8374,0.1240,-9.7099,-39.8626,7.8015
-0.3835,-0.8538,0.1252,-8.7557,-38.2672,10.3359
-0.3708,-0.8655,0.1235,-7.4885,-35.8779,12.9389
-0.3591,-0.8799,0.1155,-6.2519,-32.5802,15.8855
-0.3391,-0.8962,0.1089,-5.3282,-27.6489,18.6183
-0.3530,-0.9119,0.0681,-5.2137,-21.3664,21.0458
-0.3516,-0.9385,0.0403,-5.7252,-14.6641,23.0000
