ax,ay,az,gx,gy,gz
-0.4370,-0.9292,-0.0227,-6.6183,-20.9847,12.2061
-0.4253,-0.9502,-0.0171,-8.5878,-23.1908,17.6794
-0.4080,-0.9575,-0.0146,-10.4198,-25.4122,22.9084
-0.4023,-0.9597,-0.0120,-12.3588,-27.1450,27.7939
-0.4077,-0.9668,-0.0181,-14.1985,-28.6336,32.2366
-0.3997,-0.9753,-0.0229,-16.0458,-30.1298,36.0992
-0.3977,-0.9812,-0.0283,-17.3969,-31.3130,39.6870
-0.3872,-0.9888,-0.0312,-18.4427,-31.7634,43.0458
-0.3806,-0.9966,-0.0386,-19.4809,-31.6870,46.0000
-0.3818,-1.0017,-0.0408,-20.2977,-31.5649,48.6260
-0.3870,-1.0276,-0.0334,-20.8397,-31.5344,50.9313
-0.3809,-1.0479,-0.0337,-20.8168,-30.6870,53.1603
-0.3723,-1.0540,-0.0332,-20.7252,-29.3359,55.3053
-0.3645,-1.0486,-0.0312,-20.6260,-27.9237,57.0687
-0.3679,-1.0471,-0.0320,-20.8397,-26.6947,58.5649
-0.3740,-1.0439,-0.0376,-21.0458,-25.7405,59.6947
-0.3762,-1.0518,-0.0479,-21.4122,-25.0763,60.2901
-0.3823,-1.0710,-0.0483,-21.7176,-24.9695,60.7328
-0.3877,-1.0933,-0.0469,-22.0229,-25.7023,60.9771
-0.3909,-1.1235,-0.0503,-22.2443,-26.6336,61.1221
-0.3899,-1.1423,-0.0542,-22.0916,-27.7863,61.1908
-0.3801,-1.1484,-0.0571,-22.0687,-28.6870,61.2137
-0.3604,-1.1445,-0.0605,-21.7863,-29.0992,61.2061
-0.3474,-1.1343,-0.0674,-21.5267,-29.3664,61.1985
-0.3286,-1.1160,-0.0684,-20.7710,-28.8015,61.3511
-0.3062,-1.0916,-0.0723,-19.9924,-27.3282,61.3053
-0.2893,-1.0635,-0.0647,-19.3130,-25.3435,61.0534
-0.2751,-1.0361,-0.0605,-18.1908,-22.5649,60.5420
-0.2676,-1.0186,-0.0642,-16.8473,-19.1145,60.2137
-0.2473,-0.9968,-0.0637,-15.5191,-15.0534,59.5573
-0.2454,-0.9653,-0.0637,-14.3435,-10.5191,58.6641
-0.2500,-0.9360,-0.0632,-13.3435,-6.3817,57.4962
-0.2476,-0.8997,-0.0649,-12.7786,-2.8092,56.0687
-0.2537,-0.8711,-0.0579,-12.4046,0.8779,54.5115
-0.2583,-0.8574,-0.0417,-12.0153,3.9771,52.6794
-0.2712,-0.8489,-0.0334,-11.5115,6.4351,50.8626
-0.2866,-0.8494,-0.0276,-10.8397,8.5038,48.7328
-0.3000,-0.8501,-0.0264,-10.2672,9.9008,45.8626
-0.3201,-0.8689,-0.0232,-9.6336,10.7786,42.2519
-0.3450,-0.8918,-0.0352,-9.0000,11.1527,37.7405
-0.3740,-0.9238,-0.0432,-8.1145,10.8473,32.6794
-0.3938,-0.9563,-0.0540,-7.1221,10.0763,27.0000
-0.4043,-0.9861,-0.0564,-5.9313,9.9237,20.7023
-0.4150,-1.0237,-0.0601,-4.2901,10.5191,14.3893
-0.4136,-1.0476,-0.0708,-2.4122,11.7634,7.8015
-0.4319,-1.0603,-0.0688,-0.5267,13.2137,1.0611
-0.4297,-1.0427,-0.0796,1.1985,14.3130,-5.4656
-0.4360,-1.0139,-0.0796,2.6412,15.4122,-11.6412
-0.4231,-0.9631,-0.0730,3.9389,16.7939,-17.6870
-0.4143,-0.9131,-0.0640,5.0687,18.3435,-23.0840
-0.3984,-0.8589,-0.0542,6.1145,19.4656,-27.9924
-0.3757,-0.7988,-0.0374,6.9618,20.4275,-32.5954
-0.3645,-0.7507,-0.0356,7.8015,21.5267,-37.1679
-0.3606,-0.7166,-0.0349,8.4809,22.4886,-41.5725
-0.3669,-0.6877,-0.0410,8.8855,22.9618,-46.1985
-0.3735,-0.6697,-0.0442,9.2061,22.9084,-50.8626
-0.3921,-0.6775,-0.0520,9.2061,22.4733,-55.6412
-0.4116,-0.6880,-0.0562,9.3130,21.2901,-60.5802
-0.4368,-0.7190,-0.0750,9.5191,19.6947,-65.5573
-0.4585,-0.7490,-0.0830,9.7939,17.6718,-70.4885
-0.4734,-0.7839,-0.0952,10.2290,15.1832,-75.3282
-0.4868,-0.8230,-0.1069,10.6794,12.6947,-79.9389
-0.4993,-0.8777,-0.1155,11.4504,10.0382,-84.3282
-0.5122,-0.9346,-0.1299,12.3588,7.6794,-88.4809
-0.5215,-0.9939,-0.1440,13.7328,5.4885,-92.1069
