ax,ay,az,gx,gy,gz
-0.4143,-0.7234,-0.1257,14.1603,11.5954,-44.1679
-0.4087,-0.6873,-0.1350,15.0229,9.8702,-36.2061
-0.2791,-0.6724,-0.1387,16.3511,8.8321,-19.6183
-0.2485,-0.6570,-0.1409,17.8321,8.0687,-11.3740
-0.2346,-0.6294,-0.1309,19.2977,8.2824,-2.4198
-0.2080,-0.5852,-0.1252,20.1679,9.8397,5.5420
-0.1987,-0.5334,-0.1147,21.0458,12.1985,12.7557
-0.2148,-0.4912,-0.1069,21.6947,15.5649,19.5802
-0.2344,-0.4729,-0.0920,22.7481,18.5878,25.8626
-0.2339,-0.4741,-0.0730,22.9847,23.1069,31.0611
-0.2808,-0.5120,-0.0540,25.8244,23.6718,34.0000
-0.3435,-0.5796,-0.0542,27.4962,26.1832,36.4046
-0.3904,-0.6841,-0.0654,29.1832,30.6870,37.3130
-0.4653,-0.7942,-0.0925,31.1069,35.9771,35.3893
-0.5928,-0.9019,-0.1282,32.5725,41.4275,30.9466
-0.7705,-1.0872,-0.1868,35.4809,45.1756,23.6412
-0.9177,-1.3093,-0.2356,41.7481,45.0229,12.6794
-0.9634,-1.4111,-0.2451,48.0611,40.5267,4.3053
-0.8979,-1.3718,-0.2417,51.2901,38.8626,1.5115
-0.8367,-1.2634,-0.2129,51.7863,42.8015,2.6641
-0.7793,-1.2117,-0.1870,51.4275,54.4580,6.2137
-0.7371,-1.2107,-0.1533,50.7023,63.2672,9.7557
-0.6934,-1.2217,-0.1191,49.9771,67.8015,12.2977
-0.6748,-1.1951,-0.0898,48.9008,69.5038,13.7328
-0.6738,-1.1323,-0.0591,46.5267,71.5725,14.1145
-0.7063,-1.0684,-0.0439,42.9924,71.4962,13.8931
-0.7556,-1.0022,-0.0288,38.9389,68.3053,13.1298
-0.8191,-0.9485,-0.0198,34.4351,62.5267,11.5496
-0.8713,-0.8977,-0.0090,29.7786,54.0000,9.1298
-0.8738,-0.8433,0.0059,25.1603,43.4275,6.3893
-0.8384,-0.7817,0.0210,20.6336,33.0458,4.4198
-0.7778,-0.7170,0.0376,15.8397,24.5114,3.7023
-0.7144,-0.6587,0.0564,11.2672,18.4733,4.1298
-0.6497,-0.6206,0.0730,7.1450,13.8473,5.2748
-0.6108,-0.6108,0.0706,3.4198,10.9924,6.2137
-0.5854,-0.6174,0.0664,2.1069,6.7099,6.4427
-0.5659,-0.6143,0.0557,1.2595,1.7786,6.7328
-0.5437,-0.5996,0.0344,0.9008,-1.9237,6.7099
-0.5237,-0.5811,0.0186,0.8855,-5.0992,6.6412
-0.5281,-0.5691,-0.0078,0.7405,-8.1069,7.1985
-0.4961,-0.5491,-0.0154,0.7023,-9.5344,7.8015
-0.4639,-0.5361,-0.0288,0.7176,-10.3817,8.3359
-0.4258,-0.5359,-0.0320,0.9542,-9.7939,8.6641
-0.4036,-0.5464,-0.0327,1.6107,-8.7481,9.2366
-0.3904,-0.5698,-0.0444,2.6947,-6.6336,10.0305
-0.4043,-0.6208,-0.0552,3.9542,-3.8931,11.1832
-0.4124,-0.6648,-0.0625,5.4885,-1.5496,12.8397
-0.4287,-0.7004,-0.0691,7.5496,0.6183,14.5267
-0.4595,-0.7356,-0.0696,9.7328,3.2061,15.6260
-0.4966,-0.7664,-0.0784,12.2214,5.9924,15.2977
-0.5510,-0.8232,-0.0906,15.0534,8.7252,14.1603
-0.5771,-0.9094,-0.1174,18.4198,12.0000,11.7405
-0.6099,-0.9976,-0.1367,22.4733,15.2214,8.8855
-0.6255,-1.0681,-0.1558,26.5267,18.9695,7.2977
-0.6018,-1.0952,-0.1707,30.3664,23.5802,6.8855
-0.5515,-1.0652,-0.1709,33.3435,28.8473,7.2214
-0.5291,-1.0122,-0.1721,35.1908,34.7481,8.5496
-0.5139,-0.9856,-0.1692,36.5038,39.9542,10.4885
-0.5247,-0.9917,-0.1746,37.8015,43.7252,11.9542
-0.5684,-0.9968,-0.1829,38.8779,44.7023,13.0229
-0.6130,-1.0037,-0.1765,39.7557,43.8626,14.4198
-0.6260,-1.0122,-0.1851,40.1374,43.0840,15.6489
-0.6355,-1.0371,-0.1926,40.1908,43.2748,17.2443
-0.6367,-1.0554,-0.1978,40.0076,44.5802,18.6718
-0.6514,-1.0562,-0.2141,39.7786,45.8931,19.3435
-0.6714,-1.0503,-0.2136,39.6794,47.0763,19.6794
-0.6821,-1.0444,-0.2146,39.4122,46.9466,20.0000
-0.6931,-1.0520,-0.2217,39.2214,46.2977,20.7557
-0.6653,-1.0774,-0.2107,39.0000,45.9008,23.0534
-0.6018,-1.0474,-0.1956,38.6031,45.9695,25.3511
-0.5737,-0.9971,-0.1831,38.1832,46.6107,26.8702
-0.5640,-0.9375,-0.1655,37.7099,46.1756,28.0153
-0.5601,-0.8726,-0.1538,36.9008,44.9084,28.6718
-0.5671,-0.8149,-0.1514,35.5496,43.2214,29.1756
-0.5752,-0.7744,-0.1438,34.0916,41.4122,29.4580
-0.5742,-0.7256,-0.1409,32.8550,39.2443,29.3740
-0.5923,-0.6924,-0.1360,31.8244,36.7023,29.2519
-0.6108,-0.6794,-0.1384,31.1298,32.7634,29.4580
-0.6206,-0.6853,-0.1421,31.0534,28.3969,29.7634
-0.5950,-0.6931,-0.1479,31.6794,24.0153,29.8779
-0.5713,-0.6702,-0.1624,32.6031,20.4427,29.5573
-0.5481,-0.6470,-0.1729,33.8321,18.1985,29.1527
-0.5334,-0.6282,-0.1841,35.5191,17.9389,28.6260
-0.5330,-0.6152,-0.1931,37.7099,18.4046,28.5114
-0.5288,-0.6165,-0.1951,39.6107,20.0000,29.4198
-0.5107,-0.6045,-0.1929,41.3130,22.1985,30.7786
-0.4873,-0.5752,-0.1929,43.2061,24.2824,32.0687
-0.4670,-0.5574,-0.1929,45.2901,27.7328,32.7099
-0.4797,-0.5520,-0.2002,48.0000,31.1298,32.9771
-0.5100,-0.5454,-0.1965,50.8931,33.7481,33.4275
-0.5625,-0.5449,-0.2046,54.0840,35.3817,33.7634
-0.6162,-0.5391,-0.2161,56.5954,36.7099,32.8779
-0.6980,-0.5208,-0.2139,58.5420,37.1985,30.9237
-0.7700,-0.5281,-0.1934,60.6489,36.3893,29.3664
-0.7732,-0.5405,-0.1709,63.1450,34.5344,28.7634
-0.7710,-0.5549,-0.1587,65.4580,34.3588,28.7481
-0.7993,-0.5818,-0.1721,67.8397,36.7252,29.2748
-0.8257,-0.6028,-0.1882,70.4809,40.6260,29.3435
-0.8833,-0.6304,-0.2109,73.1679,46.2519,28.0611
-0.9565,-0.6816,-0.2334,76.1069,51.7405,25.4733
-1.0100,-0.7373,-0.2563,78.9924,55.6947,22.2290
-1.0215,-0.7693,-0.2805,81.5420,58.6794,18.1374
-1.0317,-0.7798,-0.2922,82.6183,65.2901,15.5267
-1.0195,-0.7664,-0.2739,83.1145,74.3969,14.7710
-1.0417,-0.7732,-0.2354,83.2290,82.2366,15.5344
-1.0630,-0.7571,-0.1963,84.0534,86.7328,16.8855
-1.1060,-0.7002,-0.1731,84.7252,86.4657,18.6794
-1.1228,-0.6228,-0.1143,84.7710,81.0382,20.7634
-1.1045,-0.5447,-0.0283,84.8626,72.7863,22.6870
-1.0564,-0.4687,0.0522,85.1450,64.1527,24.2824
-0.9927,-0.3999,0.1050,85.0076,59.5649,25.7099
-0.9778,-0.3220,0.0996,85.5420,53.2977,27.0382
-0.9758,-0.2520,0.0674,86.6031,48.7710,27.5496
-0.9802,-0.2217,0.0046,88.5573,43.3130,27.6336
-0.9424,-0.2148,-0.0657,91.1450,34.6489,28.0229
-0.8816,-0.2126,-0.1418,93.7939,26.3817,28.6641
-0.8159,-0.2197,-0.2151,97.0153,18.9084,27.7328
-0.8000,-0.2290,-0.2644,100.3969,14.7786,25.6947
-0.7769,-0.2141,-0.2856,104.5496,13.7405,23.5344
-0.7405,-0.2271,-0.3040,108.5802,16.2443,21.0687
-0.7346,-0.2637,-0.3281,112.6870,22.2824,18.8321
-0.7515,-0.3232,-0.3367,117.3511,29.6260,17.8855
-0.7727,-0.3943,-0.3430,122.1603,36.4427,17.8550
-0.8425,-0.4080,-0.3789,126.2748,41.6641,19.1145
-0.9241,-0.3953,-0.3972,130.0229,43.3893,20.2443
-0.9668,-0.3804,-0.4038,133.9160,42.0000,19.8779
-0.9766,-0.3706,-0.4116,136.4733,40.0840,17.3053
-0.9783,-0.3821,-0.4331,138.1145,39.2137,12.7939
-0.9609,-0.3828,-0.4504,138.8015,39.3053,7.6412
-0.9451,-0.3870,-0.4504,138.7405,43.4351,2.3435
-0.9409,-0.3726,-0.4380,137.5496,47.7863,-2.0000
-1.0251,-0.3362,-0.4431,135.4580,50.0840,-4.9237
-1.1296,-0.3259,-0.4336,132.7557,51.3893,-5.7328
-1.1709,-0.3142,-0.4011,129.8015,49.8168,-6.8015
-1.1892,-0.3225,-0.3452,127.0076,45.8779,-7.6718
-1.1370,-0.3428,-0.2751,125.8550,41.1374,-7.6107
-1.0281,-0.3259,-0.2544,124.2672,37.5038,-7.5344
-0.9531,-0.3020,-0.2463,121.1832,37.3664,-6.2824
-0.8948,-0.2908,-0.2532,117.3130,38.3817,-3.7710
-0.8652,-0.2632,-0.3137,113.2748,36.6870,-2.4962
-0.9302,-0.2566,-0.3530,108.6947,35.7328,-0.8550
-0.9773,-0.2502,-0.3701,104.3511,33.5573,0.4427
-1.0027,-0.2197,-0.3740,99.7405,29.5267,0.9618
-1.0120,-0.1907,-0.3694,94.9313,25.6718,1.3740
-1.0127,-0.1682,-0.3752,90.0076,23.1756,1.8550
-0.9778,-0.1697,-0.3555,85.6947,22.5038,1.6183
-0.9607,-0.1760,-0.3362,82.1450,22.8092,1.8015
-0.9287,-0.1863,-0.3167,79.0000,23.9313,2.1374
-0.8911,-0.1921,-0.3044,75.7405,26.1069,2.4122
-0.8804,-0.1780,-0.2986,72.3053,29.9008,2.0153
-0.8992,-0.1418,-0.3059,68.7252,32.6336,0.6565
-0.9426,-0.0979,-0.2971,64.2977,31.9847,-1.3359
-0.9861,-0.0664,-0.2844,59.6794,28.9389,-4.0153
-1.0051,-0.0598,-0.2722,54.7099,24.9084,-6.8244
-0.9893,-0.0569,-0.2468,49.7252,20.6947,-9.1908
-0.9653,-0.0540,-0.2290,44.9924,17.1603,-11.1908
-0.9443,-0.0544,-0.2122,40.4427,15.0382,-13.1603
-0.9158,-0.0659,-0.2034,35.9084,14.2443,-15.5573
-0.8879,-0.0791,-0.2085,31.7786,13.9618,-18.4733
-0.8743,-0.0901,-0.2107,28.0076,13.4885,-21.6489
-0.8997,-0.1167,-0.2126,24.4733,13.8092,-24.2366
-0.9561,-0.1470,-0.2080,20.9924,13.1832,-25.2137
-0.9734,-0.1921,-0.1970,17.8092,12.0992,-24.7786
-0.9438,-0.2222,-0.1799,15.2137,10.8473,-24.4122
-0.8994,-0.2251,-0.1663,12.9618,10.6718,-24.3969
-0.8572,-0.2239,-0.1526,10.8168,12.4198,-24.6336
-0.8467,-0.2275,-0.1475,8.9618,14.4580,-25.2214
-0.8738,-0.2349,-0.1453,7.4504,15.9618,-26.4580
-0.9153,-0.2456,-0.1484,5.6641,16.4046,-27.6718
-0.9285,-0.2600,-0.1541,3.7481,16.2366,-28.6336
-0.9019,-0.2798,-0.1619,1.8779,16.3588,-29.3282
-0.8806,-0.2971,-0.1550,0.2519,17.3893,-29.5725
-0.9070,-0.2922,-0.1575,-1.5573,19.4580,-28.7557
-0.9292,-0.3030,-0.1497,-3.6336,20.5344,-28.0687
-0.9463,-0.3142,-0.1379,-5.3053,20.1908,-27.8168
-0.9707,-0.3162,-0.1238,-6.7939,18.2366,-28.1450
-1.0195,-0.3181,-0.1143,-8.4122,14.9847,-27.7634
-1.0386,-0.3506,-0.1011,-10.2137,11.3817,-26.4122
-1.0127,-0.3699,-0.0920,-12.1603,7.3206,-25.3130
-0.8547,-0.4092,-0.0442,6.2366,-0.0458,-13.2595
-0.6572,-0.6516,-0.1211,2.5573,6.8092,-11.5649
-0.6262,-0.7986,-0.1147,-4.4046,-4.8626,-1.2977
-0.6348,-0.8113,-0.1123,-3.7328,-4.5420,-1.3588
-0.6401,-0.8130,-0.1125,-3.1145,-4.3130,-1.4885
-0.6467,-0.8152,-0.1113,-2.4351,-3.9542,-1.5191
-0.6538,-0.8118,-0.1108,-1.9847,-3.5038,-1.3435
-0.6580,-0.8113,-0.1077,-1.5115,-3.3282,-1.2137
-0.6570,-0.8103,-0.1052,-1.0916,-3.0763,-1.0382
-0.6492,-0.8076,-0.1060,-0.8168,-3.3969,-0.8702
-0.6440,-0.8040,-0.0986,-0.6031,-3.5191,-0.4427
-0.6467,-0.8052,-0.1001,-0.4580,-3.4885,0.0840
-0.6443,-0.8069,-0.0957,-0.2901,-3.1374,0.9618
-0.6414,-0.8147,-0.0986,-0.1374,-2.8931,1.8702
-0.6394,-0.8186,-0.0955,0.0840,-2.6412,2.6718
-0.6377,-0.8206,-0.1042,0.3206,-2.4427,3.3817
-0.6375,-0.8242,-0.0977,0.5420,-2.0153,4.0458
-0.6406,-0.8225,-0.0952,0.8321,-1.3817,5.0992
-0.6343,-0.8203,-0.0908,1.1527,-0.8244,5.9084
-0.6394,-0.8169,-0.0869,1.6870,-0.5420,6.5725
-0.6323,-0.8113,-0.0879,2.2137,-0.0458,7.2519
-0.6289,-0.8030,-0.0864,2.6641,0.2595,7.6794
-0.6140,-0.8015,-0.0847,3.3053,0.9237,8.1221
-0.6187,-0.7983,-0.0825,4.1298,1.7786,8.5038
-0.6189,-0.7993,-0.0811,4.7176,2.7863,8.8244
-0.6226,-0.7969,-0.0767,5.1679,3.6107,9.1298
-0.6296,-0.7939,-0.0771,5.8168,4.1527,9.1603
-0.6377,-0.7903,-0.0784,6.5191,4.5649,9.2366
-0.6406,-0.7910,-0.0740,7.1069,4.8931,9.2519
-0.6377,-0.7898,-0.0723,7.7481,5.0992,9.3053
-0.6353,-0.7820,-0.0693,8.5725,5.4351,10.2366
-0.6270,-0.7734,-0.0601,9.2901,5.8779,11.8550
-0.6130,-0.7556,-0.0601,9.7710,6.8397,13.4656
-0.6162,-0.7549,-0.0588,10.0840,8.2214,14.5420
-0.6292,-0.7688,-0.0659,10.6565,9.7405,14.8702
-0.6406,-0.7739,-0.0691,11.5344,10.3969,14.6718
-0.6528,-0.7715,-0.0713,12.4809,10.6489,14.2901
-0.6672,-0.7717,-0.0732,13.0916,10.9084,14.0458
-0.6655,-0.7727,-0.0793,13.6107,11.4962,13.7176
-0.6702,-0.7766,-0.0811,13.9466,12.4885,13.4733
-0.6614,-0.7695,-0.0801,14.1832,13.3206,13.4198
-0.6506,-0.7554,-0.0784,14.7328,12.7863,13.3206
-0.6565,-0.7444,-0.0745,14.9084,13.2595,14.0000
-0.6477,-0.7375,-0.0681,15.0992,13.7252,15.3435
-0.6270,-0.7205,-0.0657,15.2137,13.7863,16.7634
-0.6064,-0.6875,-0.0559,14.7481,14.1450,18.0305
-0.6045,-0.6541,-0.0518,13.9924,14.5115,19.1298
-0.6328,-0.6433,-0.0618,12.9618,14.4351,20.1756
-0.6914,-0.6587,-0.0632,11.2901,14.2824,21.1221
-0.7485,-0.6863,-0.0513,9.6031,12.3130,21.3893
-0.8030,-0.7166,-0.0479,8.4427,8.8321,21.3511
-0.8267,-0.7458,-0.0293,7.5649,4.8550,21.7405
-0.8044,-0.7544,-0.0303,7.1908,1.2824,22.1679
-0.7869,-0.7551,-0.0356,6.7786,-0.9771,22.7939
-0.7834,-0.7322,-0.0513,6.3282,-1.4198,23.3588
-0.8032,-0.7187,-0.0537,5.7099,-0.9771,23.8168
-0.8303,-0.7231,-0.0410,5.2137,-0.3588,24.4198
-0.8616,-0.7434,-0.0369,5.0458,1.0916,25.1298
-0.8774,-0.7734,-0.0256,6.0458,1.6641,26.3817
-0.8843,-0.7720,-0.0361,7.8397,0.8550,27.9695
-0.9153,-0.7361,-0.0254,10.2595,1.6031,29.4656
-0.9363,-0.6755,-0.0051,12.7023,1.9847,30.2366
