ax,ay,az,gx,gy,gz
-0.2664,-1.0486,0.0198,-18.6489,4.9924,1.5802
-0.2678,-1.0596,0.0454,-16.7710,8.3969,-4.3053
-0.2402,-1.0522,0.0669,-13.9847,13.6718,-9.4351
-0.2466,-1.0352,0.0713,-11.0840,20.0611,-14.3588
-0.2449,-1.0027,0.0828,-9.3282,25.4809,-18.4504
-0.2539,-0.9561,0.0972,-7.8473,29.6565,-23.1756
-0.2891,-0.9124,0.1208,-6.7176,33.1832,-28.2214
-0.3833,-0.8845,0.0964,-6.0153,34.1832,-32.3053
-0.3770,-0.8364,0.1694,-5.1145,30.1756,-36.8779
-0.3362,-0.7537,0.2432,-4.7023,26.3435,-40.8931
-0.3972,-0.7207,0.2690,-5.0153,29.0153,-46.0153
-0.5083,-0.7568,0.2632,-4.7023,27.2901,-52.4275
-0.5959,-0.7810,0.3350,-3.7786,17.8626,-59.3206
-0.6021,-0.8054,0.3804,-1.6107,5.4885,-63.6336
-0.5898,-0.8311,0.4478,0.6260,2.9618,-69.3664
-0.5615,-0.8921,0.4724,5.0153,3.8931,-74.6947
-0.5415,-0.9541,0.4932,10.3588,9.9618,-77.1527
-0.5652,-1.0208,0.4319,15.3359,20.3511,-78.3588
-0.5879,-1.0720,0.3665,20.9771,33.4504,-79.0840
-0.5635,-1.0764,0.2395,25.4504,45.8244,-79.3053
-0.6165,-1.0989,0.1316,29.6565,46.9695,-78.7710
-0.6558,-1.0986,-0.0889,31.4886,43.8702,-75.2519
-0.5728,-1.1133,-0.0437,31.9924,48.6336,-70.5802
-0.7537,-1.0984,-0.2153,27.2672,47.3511,-53.4580
-1.0898,-1.0571,-0.1714,21.7939,34.0229,-26.3282
-0.8013,-0.9817,-0.1709,18.3588,18.1985,-10.4351
-0.6792,-1.0078,-0.0881,16.8473,0.9466,-5.5191
-0.6658,-1.0386,-0.0273,16.7328,-13.2061,-0.8702
-0.4358,-1.0381,0.0217,17.3969,-21.1374,1.5802
-0.2104,-1.0215,0.0259,16.8168,-25.9542,1.2443
-0.0718,-0.9883,0.0374,15.9542,-23.5038,0.1756
-0.0071,-0.9756,0.0266,14.9389,-16.0076,-1.3435
-0.0142,-0.9690,0.0056,13.6565,-7.4122,-2.2443
-0.0510,-0.9683,-0.0259,11.7710,1.7634,-2.4733
-0.0913,-0.9636,-0.0439,9.9924,10.7863,-2.2901
-0.1404,-0.9500,-0.0647,8.6107,18.7863,-2.4198
-0.1868,-0.9358,-0.0889,7.5115,24.9237,-2.3664
-0.2263,-0.9248,-0.1021,6.5191,29.2443,-2.5115
-0.2617,-0.9260,-0.1199,5.6794,32.8626,-3.0611
-0.2849,-0.9309,-0.1257,4.8397,35.2519,-3.5191
-0.3010,-0.9351,-0.1389,4.3511,36.8855,-4.0000
-0.3174,-0.9375,-0.1465,3.8015,37.9847,-4.7481
-0.3301,-0.9490,-0.1555,3.4427,37.6794,-5.9008
-0.3528,-0.9629,-0.1675,3.1069,36.2443,-7.8168
