ax,ay,az,gx,gy,gz
-0.3176,-0.8311,0.0552,-19.0687,-83.0916,16.3206
-0.2847,-0.8313,0.0671,-19.0916,-81.4809,17.6565
-0.2441,-0.8418,0.0818,-18.8015,-77.0992,18.9466
-0.2161,-0.8635,0.1433,-16.2672,-71.0992,19.6489
-0.2444,-0.8708,0.2061,-13.0076,-67.1756,20.8168
-0.2412,-0.8855,0.2583,-10.1679,-64.7863,21.1908
-0.2168,-0.8740,0.2808,-7.6260,-61.3053,20.8855
-0.1777,-0.8589,0.2896,-6.0076,-55.6718,19.8626
-0.1479,-0.8625,0.2876,-5.1832,-48.1756,18.8550
-0.1428,-0.8601,0.2727,-5.1374,-40.3511,17.7252
-0.1411,-0.8613,0.2559,-5.7939,-32.8779,16.3740
-0.1592,-0.8611,0.2412,-6.8244,-25.7786,14.9466
-0.1646,-0.8643,0.2297,-8.1985,-19.6641,13.8550
-0.2000,-0.8706,0.2229,-9.4275,-15.2519,12.7405
-0.2378,-0.8792,0.2122,-10.3588,-12.4809,11.9695
-0.2781,-0.8914,0.2095,-11.0153,-11.7634,11.4122
-0.3040,-0.9041,0.2017,-11.2290,-13.1527,11.2061
-0.3364,-0.9138,0.1917,-11.2137,-16.3511,10.9160
-0.3518,-0.9341,0.1768,-10.9695,-20.9618,10.8855
-0.3618,-0.9495,0.1672,-10.4275,-26.2824,10.9771
-0.3667,-0.9634,0.1606,-9.9389,-31.9542,10.9542
-0.3599,-0.9780,0.1377,-9.4504,-37.0992,10.9313
-0.3472,-0.9944,0.1270,-9.0382,-41.4122,10.7481
-0.3240,-1.0144,0.1152,-8.7023,-43.8244,10.5725
-0.3169,-1.0251,0.1111,-8.7710,-45.0305,10.4046
-0.2988,-1.0249,0.1096,-8.9313,-44.7863,10.1985
-0.2815,-1.0273,0.1069,-9.3817,-43.1145,10.0382
-0.2822,-1.0310,0.0972,-10.0534,-41.0153,9.8321
-0.2732,-1.0249,0.0940,-10.9389,-38.6183,10.0840
-0.2751,-1.0215,0.0884,-11.8473,-35.7939,10.1450
-0.2861,-1.0166,0.0808,-12.7634,-33.5954,10.6336
-0.2932,-1.0134,0.0779,-13.4275,-31.8244,11.4962
-0.3096,-1.0061,0.0767,-13.9542,-30.7176,12.6107
-0.3101,-1.0010,0.0667,-14.2519,-30.5725,13.9237
-0.3159,-0.9915,0.0615,-14.6260,-30.9313,15.3893
-0.3105,-0.9783,0.0557,-15.0153,-31.5267,16.8015
-0.3037,-0.9700,0.0522,-15.4962,-32.2748,18.1450
-0.3022,-0.9656,0.0544,-16.0458,-33.0611,19.4275
-0.2993,-0.9563,0.0525,-16.6641,-33.8626,20.5802
-0.2976,-0.9551,0.0613,-17.0458,-34.5115,21.5344
