ax,ay,az,gx,gy,gz
-0.3589,-0.9722,-0.2344,10.4733,-7.5191,-15.5725
-0.3394,-0.9382,-0.2161,8.0992,-5.4122,-11.0229
-0.3271,-0.9038,-0.1968,5.8321,-3.6107,-6.2672
-0.3142,-0.8696,-0.1838,3.2595,-2.1298,-1.6412
-0.3157,-0.8455,-0.1702,0.7328,-1.1298,2.7481
-0.3228,-0.8333,-0.1675,-1.8473,-1.2977,6.7176
-0.3308,-0.8252,-0.1619,-4.3282,-2.4351,10.3359
-0.3457,-0.8225,-0.1604,-6.6489,-4.2443,13.3206
-0.3467,-0.8325,-0.1680,-8.8473,-6.1069,16.2137
-0.3511,-0.8491,-0.1638,-10.8168,-8.1908,18.8397
-0.3528,-0.8611,-0.1655,-12.4275,-10.0229,20.8168
-0.3625,-0.8804,-0.1699,-13.9466,-11.7099,22.6947
-0.3638,-0.8926,-0.1702,-15.2672,-13.1679,24.0000
-0.3711,-0.9087,-0.1707,-16.1908,-14.6718,24.8015
-0.3743,-0.9177,-0.1687,-16.8092,-16.0992,25.4580
-0.3772,-0.9250,-0.1672,-17.4275,-17.3817,25.7557
-0.3779,-0.9268,-0.1653,-17.7328,-18.2137,25.9847
-0.3638,-0.9434,-0.1599,-17.5725,-18.1145,26.1527
-0.3455,-0.9617,-0.1565,-17.1985,-16.7634,26.1145
-0.3320,-0.9817,-0.1594,-16.5878,-14.6107,26.2366
-0.3215,-1.0073,-0.1584,-16.0076,-11.3588,26.3511
-0.3235,-1.0300,-0.1616,-15.5954,-8.1145,25.9008
-0.3318,-1.0444,-0.1626,-15.1374,-5.3511,25.6183
-0.3337,-1.0381,-0.1506,-14.8015,-3.5115,25.3282
-0.3289,-1.0176,-0.1428,-14.6870,-2.4580,25.5267
-0.3232,-0.9817,-0.1292,-14.8244,-1.4427,25.6565
-0.3159,-0.9558,-0.1162,-15.2290,-0.4504,25.7939
-0.3203,-0.9397,-0.1003,-15.6107,-0.5725,25.8855
-0.3218,-0.9373,-0.0850,-15.9160,-1.6870,25.9008
