ax,ay,az,gx,gy,gz
0.1470,-3.9075,0.0740,-139.9618,-197.6260,199.5343
0.1753,-3.7000,0.1821,-129.3053,-167.3206,208.2443
0.1931,-3.4680,0.2522,-120.5191,-135.4427,214.3435
0.2156,-3.2522,0.2869,-113.7710,-102.6718,217.3130
0.2222,-3.1069,0.2837,-109.4580,-71.6336,217.9084
0.1843,-3.0117,0.2917,-106.4657,-43.5496,216.1985
0.1177,-2.9023,0.2605,-103.6718,-20.1908,212.1145
0.0930,-2.8718,0.2114,-102.8626,-1.6489,205.4504
0.0427,-2.9504,0.1968,-102.2672,13.3053,196.7863
-0.0791,-2.8730,0.1821,-98.1527,25.2214,187.2214
-0.1812,-2.6006,0.1365,-94.1069,32.5954,178.3817
-0.1919,-2.3721,0.0813,-93.3740,37.1374,171.6183
-0.0940,-2.2742,0.0425,-96.0840,42.4504,165.5420
0.0408,-2.2759,0.0481,-99.1527,49.1450,157.4962
0.0649,-2.2234,0.0999,-101.0458,53.5420,146.4122
0.0317,-2.0344,0.1409,-102.3130,53.1450,134.2061
0.0183,-1.8054,0.1829,-104.7481,48.7176,120.9695
-0.0129,-1.6221,0.2744,-108.0992,40.6565,106.6336
-0.0400,-1.4727,0.3777,-110.7481,30.2977,90.0305
-0.0906,-1.3831,0.4822,-111.8244,18.1221,71.5496
-0.1318,-1.2910,0.6245,-110.2137,4.2214,53.1679
-0.1829,-1.2019,0.7883,-105.9084,-10.8626,34.9313
-0.1941,-1.1077,0.9299,-99.0305,-25.4809,18.5496
-0.1738,-0.9990,1.0452,-92.1908,-37.1527,2.4046
-0.1060,-0.8347,1.0649,-84.9695,-40.7863,-10.8168
0.0010,-0.6663,1.0398,-77.8931,-36.6107,-22.8397
0.0935,-0.5291,0.9524,-73.2824,-26.4733,-33.8473
0.2026,-0.4265,0.8567,-70.5878,-12.0076,-44.1985
0.2837,-0.3113,0.7458,-70.1679,3.1985,-54.9008
0.3052,-0.3687,0.6929,-69.0458,16.9084,-64.9771
0.3130,-0.3269,0.6130,-68.3969,26.8702,-72.2901
0.2739,-0.3132,0.5442,-68.8855,33.8092,-81.2443
0.2236,-0.3062,0.5017,-69.4809,38.4580,-88.6489
0.1582,-0.3193,0.4722,-70.4275,40.9618,-95.8779
0.0500,-0.3105,0.4595,-71.1450,39.4809,-102.4809
-0.0430,-0.3206,0.4473,-72.2519,34.1908,-108.7099
-0.1306,-0.3767,0.4490,-72.9924,26.7863,-113.7023
-0.2153,-0.4500,0.4592,-72.8092,17.1756,-118.4198
-0.2844,-0.5356,0.4807,-71.3359,6.0076,-122.5802
-0.3650,-0.6252,0.5076,-68.0611,-5.9466,-126.2519
-0.4436,-0.7083,0.5168,-63.1985,-18.4886,-129.2290
-0.5259,-0.7676,0.5073,-57.2901,-31.3664,-131.6565
