ax,ay,az,gx,gy,gz
-0.9067,-0.3894,-0.8247,21.7939,-2.1985,18.0687
-0.8552,-0.3660,-0.7539,22.7481,-0.7863,23.3053
-0.7998,-0.3293,-0.6892,24.4122,0.1450,27.6260
-0.7612,-0.2842,-0.6433,26.3206,0.1527,31.1145
-0.7126,-0.2341,-0.6082,28.2214,-0.8779,33.2672
-0.6382,-0.1812,-0.5681,29.6183,-1.3664,34.2519
-0.5747,-0.1384,-0.5237,30.4809,-0.2595,34.2977
-0.5444,-0.1072,-0.5024,31.4046,0.7405,33.7710
-0.5413,-0.0864,-0.4927,32.5344,1.3664,32.5649
-0.5449,-0.0835,-0.4985,34.3740,0.4885,30.7710
-0.5432,-0.0715,-0.5198,36.6718,-1.2748,28.2290
-0.5544,-0.0667,-0.5427,39.1145,-3.6641,25.5420
-0.5317,-0.0530,-0.5959,41.4885,-5.1527,22.8931
-0.5100,-0.0442,-0.6489,42.7557,-4.7634,20.3588
-0.5090,-0.0549,-0.7007,43.5038,-3.0458,17.8931
-0.5205,-0.0720,-0.7666,43.5649,-0.3053,16.1679
-0.5325,-0.0937,-0.8242,43.0534,3.3359,14.7328
-0.5613,-0.1262,-0.8638,42.5954,6.1221,13.7939
-0.6038,-0.1521,-0.9170,42.0305,7.7634,12.9160
-0.6470,-0.1814,-0.9646,41.5954,8.0382,12.3359
-0.6848,-0.2029,-1.0151,41.0305,7.2443,11.7099
-0.7141,-0.2246,-1.0466,40.2366,5.4962,11.5649
-0.7437,-0.2222,-1.0483,39.0382,4.5344,12.1756
-0.7705,-0.1992,-1.0391,37.1832,3.7405,13.5344
-0.8120,-0.1816,-0.9949,35.0763,3.8015,15.8168
-0.8525,-0.1714,-0.9304,33.6489,2.9924,18.7710
-0.8647,-0.1523,-0.9028,32.5725,1.9237,22.0153
-0.8711,-0.1299,-0.8733,31.6870,1.1298,25.2137
-0.8701,-0.1069,-0.8340,31.0382,0.7634,28.4122
-0.8540,-0.0662,-0.8008,30.5649,0.9237,31.1603
-0.8430,-0.0388,-0.7778,30.0687,1.2672,33.2366
-0.8235,-0.0178,-0.7581,29.5878,1.6489,34.7176
-0.8113,-0.0039,-0.7227,29.1221,2.2366,35.6183
-0.8015,0.0002,-0.7114,28.4351,2.0840,36.2595
-0.8086,0.0156,-0.6987,27.9160,1.6565,36.2366
-0.7971,0.0347,-0.7070,27.4351,0.8855,36.1527
-0.7798,0.0398,-0.7129,26.5954,0.3130,35.7099
-0.7778,0.0264,-0.7354,25.7023,-0.5649,35.6183
-0.7529,0.0083,-0.7651,24.6718,-1.4962,35.2137
-0.7434,-0.0146,-0.7786,23.8092,-2.8626,34.8855
-0.7239,-0.0378,-0.7917,23.4427,-5.2366,34.1374
-0.7085,-0.0601,-0.8098,23.1985,-7.0840,33.0534
-0.6968,-0.0850,-0.8274,22.7634,-8.0153,31.9389
-0.6816,-0.1038,-0.8330,22.1527,-7.8092,31.2290
-0.6733,-0.1143,-0.8396,20.9771,-5.9771,30.7557
-0.6760,-0.1064,-0.8276,19.0763,-3.1832,30.8855
-0.6833,-0.1006,-0.7920,17.2748,-1.3511,31.8397
-0.6870,-0.0876,-0.7622,15.7557,-0.0916,33.2137
-0.6958,-0.0723,-0.7395,14.5954,-0.5344,34.4809
-0.6975,-0.0347,-0.7324,13.8626,-1.9542,35.4962
-0.6924,-0.0117,-0.7239,13.5954,-4.8550,36.0687
-0.6536,0.0122,-0.7192,13.7328,-7.8244,36.4122
-0.6309,0.0383,-0.7207,14.4046,-10.8321,35.6947
-0.5972,0.0552,-0.7366,15.4885,-13.9847,34.5420
-0.5779,0.0381,-0.7634,16.3435,-16.4962,32.8931
-0.5505,0.0076,-0.7781,16.8779,-18.2519,31.1145
-0.5293,0.0063,-0.8066,16.9084,-18.1527,29.5573
-0.5095,0.0000,-0.8420,15.5954,-16.5878,27.8931
-0.5142,0.0142,-0.8638,13.3511,-14.4427,26.8931
-0.5491,0.0334,-0.8870,10.8626,-13.9237,26.4122
-0.5601,0.1016,-0.9143,7.9466,-14.6641,25.4046
-0.5908,0.1748,-0.9175,4.5573,-16.2977,24.0153
-0.6382,0.2344,-0.9209,1.2977,-18.0458,22.6794
