ax,ay,az,gx,gy,gz
-0.5100,-1.1414,0.2187,3.0382,96.8092,-27.8931
-0.6145,-1.0525,0.1814,3.7405,106.0840,-26.7252
-0.7065,-1.0059,0.1499,4.4656,112.3130,-24.3130
-0.8044,-0.9321,0.1011,5.4809,115.1298,-21.6031
-0.8772,-0.8462,0.0298,5.7786,114.2672,-18.3130
-0.9448,-0.7827,-0.0166,5.3969,109.6031,-14.7710
-1.0000,-0.7476,-0.0664,4.3206,100.2901,-11.2519
-1.0378,-0.7183,-0.0881,3.0076,86.8855,-7.1679
-1.0471,-0.6860,-0.0994,1.6641,71.4351,-2.6489
-1.0327,-0.6548,-0.0867,-0.1069,54.7710,2.1756
-1.0068,-0.6257,-0.0586,-2.0153,38.1527,7.5344
-0.9541,-0.6226,-0.0215,-4.3130,22.8626,13.0687
-0.8914,-0.5981,0.0017,-6.8015,9.6794,18.5573
-0.8291,-0.5918,0.0178,-10.1908,-1.1756,23.5344
-0.7578,-0.6157,0.0300,-13.6412,-9.4427,28.2061
-0.7114,-0.6475,0.0376,-17.7710,-17.0153,32.8092
-0.6841,-0.7100,0.0425,-21.2977,-23.8626,36.5344
-0.6458,-0.7664,0.0479,-24.7099,-30.0153,40.1527
-0.6287,-0.8276,0.0618,-27.7023,-35.5725,43.5344
-0.6038,-0.8953,0.0874,-30.1221,-40.0076,46.6489
-0.5884,-0.9658,0.1030,-31.9466,-44.1832,49.7786
-0.5754,-1.0288,0.1206,-33.2901,-48.0992,52.6641
-0.5671,-1.0940,0.1292,-34.3511,-52.1527,55.4885
-0.5625,-1.1938,0.1379,-35.3053,-56.7863,58.1527
-0.5698,-1.2639,0.1445,-35.5267,-62.0840,60.4885
-0.5767,-1.3250,0.1550,-35.2137,-68.3359,62.9771
-0.5623,-1.3923,0.1865,-34.1756,-74.7634,65.8092
-0.5383,-1.4600,0.2209,-32.3817,-80.7023,68.7634
-0.5107,-1.4946,0.2466,-29.8092,-85.5725,72.2443
-0.4475,-1.5120,0.2622,-26.9924,-88.4962,76.4580
-0.3938,-1.5134,0.2883,-23.9695,-88.6489,80.5802
-0.3311,-1.5383,0.3215,-20.7176,-86.2061,84.9618
-0.2798,-1.5615,0.3704,-16.2824,-82.1756,89.4504
-0.3086,-1.5854,0.3870,-11.1145,-82.0076,93.9771
-0.2793,-1.6213,0.3726,-6.9008,-79.6107,98.9237
-0.0779,-1.6304,0.3738,-0.8855,-74.6870,99.0229
0.0898,-1.6169,0.3726,3.0534,-63.2443,98.0305
0.2627,-1.5415,0.3623,6.3053,-42.1450,96.6565
0.2622,-1.4553,0.3562,7.9389,-19.6260,97.8779
0.2068,-1.3901,0.3198,7.3053,1.7634,99.6718
