ax,ay,az,gx,gy,gz
-0.4373,-1.2400,-0.3159,-17.4198,-28.2290,-22.5267
-0.5173,-1.4832,-0.3997,-13.2977,-27.7634,-38.0000
-0.5637,-1.7151,-0.4487,-6.9542,-29.3664,-54.1756
-0.5784,-1.8635,-0.4600,0.9084,-31.7634,-67.9618
-0.3333,-1.5332,-0.4143,15.3893,-28.6794,-71.9618
-0.2271,-1.4382,-0.3716,14.3969,-25.3053,-65.8855
-0.1018,-1.3188,-0.3306,12.4275,-20.3664,-58.9847
0.0063,-1.2112,-0.2856,9.4962,-14.2901,-51.2901
0.0757,-1.1345,-0.2371,5.7634,-6.0687,-43.4809
0.1086,-1.0999,-0.1870,2.3511,3.2366,-36.5115
0.1011,-1.0857,-0.1318,-0.2519,9.9847,-29.9771
0.0491,-1.0737,-0.0906,-1.1069,12.6183,-24.0687
-0.0315,-1.0435,-0.0647,-0.8015,10.1832,-18.8473
-0.1157,-0.9954,-0.0625,0.2595,3.6870,-14.5344
-0.1648,-0.9470,-0.0850,1.5038,-5.0229,-11.0611
-0.1816,-0.9109,-0.1125,1.9847,-13.8321,-7.5878
-0.1704,-0.8972,-0.1379,1.7481,-20.7634,-3.3969
-0.1440,-0.8840,-0.1560,1.1298,-24.5496,0.8855
-0.1270,-0.8904,-0.1760,0.4046,-25.7481,5.2366
-0.1274,-0.8899,-0.1814,-0.3435,-24.7481,9.4046
-0.1343,-0.8901,-0.1875,-0.8015,-22.4962,13.1603
-0.1562,-0.8909,-0.1904,-1.0763,-19.6260,16.3130
-0.1792,-0.8999,-0.1860,-1.0763,-16.6947,18.6947
-0.1968,-0.8965,-0.1775,-0.7099,-14.0840,20.1374
-0.2346,-0.8867,-0.1733,-0.0840,-12.1221,20.7176
-0.2637,-0.8752,-0.1660,0.8015,-11.0000,20.1374
-0.2817,-0.8640,-0.1599,1.8931,-10.5725,19.0153
-0.2888,-0.8708,-0.1565,3.0687,-10.0458,17.3588
-0.2905,-0.8711,-0.1606,4.1832,-8.8092,15.3206
-0.2864,-0.8926,-0.1680,5.3053,-6.4351,13.0229
-0.2751,-0.9297,-0.1758,6.2748,-3.2824,10.6947
-0.2666,-0.9509,-0.1926,6.8473,1.0000,8.1679
-0.2649,-0.9685,-0.2053,7.1985,5.9389,5.2290
-0.2769,-0.9927,-0.2195,7.3130,10.6947,2.1221
-0.2812,-1.0249,-0.2236,7.0611,15.1679,-0.9542
-0.2888,-1.0342,-0.2234,6.3893,19.0000,-3.8626
-0.3005,-1.0242,-0.2119,5.3740,21.9389,-6.6031
-0.3127,-1.0198,-0.1938,4.1450,24.2061,-8.7939
-0.3257,-1.0110,-0.1785,2.9160,25.1832,-10.5573
-0.3320,-1.0005,-0.1597,1.4351,25.0687,-11.6031
-0.3320,-0.9922,-0.1306,0.1985,23.5725,-11.8779
-0.3328,-0.9895,-0.1077,-1.0687,21.5649,-11.3435
-0.3381,-0.9888,-0.0881,-2.0458,18.6870,-10.3359
-0.3491,-0.9824,-0.0759,-2.9389,14.4351,-9.1145
-0.3594,-0.9441,-0.0662,-4.0992,8.6183,-7.7099
-0.3550,-0.9102,-0.0630,-5.6794,1.7023,-6.0916
-0.3398,-0.8726,-0.0662,-8.0153,-5.2901,-4.2061
-0.3110,-0.8555,-0.0630,-10.8779,-11.6641,-2.2748
-0.2781,-0.8445,-0.0510,-13.4275,-16.8626,0.2595
-0.2366,-0.8525,-0.0349,-15.5725,-19.7786,3.1603
-0.1953,-0.8708,-0.0183,-17.2748,-21.1069,6.6183
-0.1738,-0.8926,-0.0063,-18.5420,-20.6870,10.5115
