ax,ay,az,gx,gy,gz
-0.0876,-0.1658,2.9958,-48.7710,70.8702,-20.4656
-0.4524,0.4504,1.7397,-44.7939,64.0305,-25.4733
-0.5403,0.9988,0.5269,-52.4046,60.9847,-23.0840
-0.4648,0.7190,0.1763,-51.8321,50.0763,-13.9542
-0.3557,0.9226,0.1287,-52.8321,19.8779,-16.8397
-0.2983,1.0225,0.2747,-57.8015,-16.5573,-20.2824
-0.0701,0.7708,0.5295,-59.3130,-44.9084,-27.1985
0.2651,0.6467,0.8044,-53.3511,-45.0916,-31.6489
0.3831,0.6738,0.9092,-47.6718,-23.8244,-30.0534
-0.0671,0.6943,0.9075,-42.5344,-6.4198,-23.0076
-0.2659,0.7417,0.8765,-37.7481,-2.0763,-14.1145
-0.1882,0.8201,0.8269,-34.6260,1.9466,-8.2748
-0.0620,0.8860,0.8201,-34.1603,10.2519,-4.7710
0.0618,0.9543,0.8613,-34.9466,19.8321,-4.8244
0.0852,0.9734,0.9365,-35.2824,30.9313,-7.8015
-0.0334,0.9375,0.9268,-34.8779,40.7099,-10.0000
-0.1912,0.8564,0.7834,-34.5267,44.0458,-9.5878
-0.2178,0.7949,0.6797,-34.8931,40.6565,-6.0687
-0.1824,0.7251,0.5750,-36.0840,33.4275,-2.3588
-0.1062,0.6052,0.4863,-36.6336,20.5649,-1.2901
0.0569,0.5459,0.4377,-37.0305,8.5344,-3.7405
0.1643,0.4648,0.4297,-36.9695,-0.7863,-7.8092
0.2053,0.3977,0.3821,-36.1985,-7.0992,-10.2137
0.2529,0.3511,0.3147,-36.0916,-9.5954,-11.5115
0.2559,0.2744,0.2205,-36.5725,-10.6183,-11.9695
0.2666,0.1990,0.0793,-38.2977,-12.4122,-11.5725
0.3284,0.1694,-0.0481,-41.6031,-13.8473,-12.2595
0.3621,0.1484,-0.1282,-46.1603,-16.1221,-14.2214
0.4087,0.1108,-0.1428,-51.0534,-18.9466,-16.2824
0.4163,0.0471,-0.1599,-56.3664,-18.9847,-17.9695
0.3792,-0.0825,-0.1182,-60.9847,-15.9389,-18.7939
0.2893,-0.2332,-0.0815,-64.4962,-11.0534,-17.3282
0.1677,-0.4058,-0.0762,-67.3893,-5.8550,-13.1145
0.0481,-0.5691,-0.0256,-67.9084,-3.0382,-7.1298
-0.0217,-0.6912,-0.0730,-67.9160,-3.1527,-0.6870
-0.0217,-0.7793,-0.0874,-68.1145,-3.1374,5.6641
0.0200,-0.8462,-0.0989,-70.3282,-1.0153,10.6183
0.0630,-0.9021,-0.0833,-73.9847,2.6107,14.3740
0.1111,-0.9480,-0.0635,-79.3664,7.3053,14.3588
0.1248,-1.0049,-0.0444,-86.2137,12.5802,12.4198
0.1150,-1.0779,-0.0095,-94.4885,17.3664,10.3130
0.0806,-1.1760,0.0376,-103.3893,23.3282,7.4885
0.0339,-1.2813,0.0901,-112.1527,30.4580,2.1374
-0.0017,-1.3718,0.1460,-121.7786,39.7634,-5.1069
-0.0432,-1.4644,0.2524,-131.9313,50.5420,-13.3969
-0.0669,-1.5867,0.3669,-140.2901,62.8473,-23.1221
-0.0891,-1.6924,0.4292,-148.5649,73.5725,-35.2901
-0.1167,-1.7793,0.4558,-158.3893,81.6260,-52.1908
