ax,ay,az,gx,gy,gz
0.0947,-0.4463,0.0164,-8.8855,14.3435,37.8321
0.0767,-0.4463,0.0400,-10.3053,20.9389,34.7557
0.0483,-0.4597,0.0542,-10.7939,25.6718,31.2061
0.0076,-0.4785,0.0825,-10.0916,28.8168,27.5420
-0.0193,-0.5164,0.0977,-8.1908,30.7634,23.3435
-0.0540,-0.5469,0.1079,-5.3359,31.4580,19.0305
-0.0730,-0.5857,0.0996,-2.1298,31.0229,14.2824
-0.0825,-0.6140,0.0693,0.8092,30.2366,9.0458
-0.0933,-0.6606,0.0269,3.1603,29.8473,2.5344
-0.1465,-0.9407,-0.0576,10.6794,30.2366,-29.6031
-0.1436,-0.9648,-0.0510,13.3969,29.6260,-38.2061
-0.1433,-0.9104,-0.0591,14.6260,30.8015,-45.2748
-0.1326,-0.8186,-0.0820,13.9771,35.2366,-49.2824
-0.1184,-0.7551,-0.1306,10.5725,42.2443,-51.4962
-0.1367,-0.7024,-0.1118,4.6489,51.1679,-51.2672
-0.1328,-0.6216,-0.0825,-2.9924,59.6107,-48.0305
-0.1001,-0.5762,-0.0684,-9.8473,65.7863,-44.1374
-0.1284,-0.6233,-0.0750,-15.1145,70.2519,-41.7634
-0.1936,-0.7180,-0.0151,-17.1756,71.3282,-40.1221
-0.2603,-0.8000,0.0500,-14.9847,65.0305,-38.9542
-0.3306,-0.8777,0.0867,-9.7786,51.9313,-38.7557
-0.3916,-0.9270,0.0525,-4.6336,35.5038,-39.2137
-0.4165,-0.9316,0.0295,-0.0458,18.1679,-39.9771
-0.4070,-0.9224,-0.0149,3.4351,1.5954,-40.1450
-0.3723,-0.9497,-0.0911,5.6260,-11.4809,-39.9466
-0.3425,-1.0132,-0.1155,7.0992,-20.7405,-39.3053
-0.3179,-1.0383,-0.1411,10.0076,-28.5114,-37.0992
-0.2852,-1.0366,-0.1653,12.4351,-34.9771,-34.0763
-0.2439,-1.0220,-0.1819,14.6794,-38.5725,-30.8092
-0.2109,-1.0203,-0.2080,15.7176,-39.8321,-27.3435
-0.1624,-1.0308,-0.2417,15.6947,-39.2595,-24.1985
-0.1284,-1.0549,-0.2417,15.1832,-38.4962,-21.8168
-0.1086,-1.0586,-0.2314,15.6031,-39.1221,-18.9466
-0.0491,-1.0481,-0.1985,15.6183,-37.6260,-16.5114
0.0654,-1.0774,-0.1824,14.6489,-32.0000,-14.9008
0.2087,-1.1338,-0.1208,16.6412,-22.0687,-15.2366
0.2441,-1.1021,-0.1760,17.8244,-14.0992,-14.6794
0.1843,-1.0498,-0.2268,15.4962,-3.3359,-10.1069
0.1079,-1.0371,-0.2668,11.2443,10.2366,-4.0916
0.0237,-1.0710,-0.2546,7.5802,18.9847,1.7557
-0.0618,-1.1299,-0.2383,5.9389,20.6107,6.8702
-0.0820,-1.1736,-0.2146,7.0229,18.0687,11.0458
-0.0542,-1.1943,-0.1875,9.8168,12.6794,12.9008
0.0198,-1.1790,-0.1912,13.6031,6.9008,12.0916
0.0613,-1.1680,-0.1829,15.8550,2.6947,10.8168
0.0964,-1.1877,-0.2026,16.8702,3.8397,11.1832
0.1667,-1.2327,-0.2029,16.6870,4.9084,13.3969
0.2524,-1.2717,-0.1538,15.4198,5.4733,15.8855
0.3069,-1.3230,-0.1082,12.9237,9.7710,18.0992
0.3210,-1.4001,-0.0603,11.8473,16.2366,19.8092
0.3823,-1.4731,-0.0256,13.0305,18.3817,21.6489
0.4839,-1.5029,-0.0273,12.6947,25.2672,23.4122
0.5154,-1.4551,-0.0723,10.5420,32.5115,24.5344
0.5571,-1.4084,-0.1641,5.7099,44.9542,24.5878
0.5466,-1.3499,-0.1018,3.4275,53.2366,22.0076
0.5254,-1.3103,-0.0940,-0.2977,59.7099,20.6183
