ax,ay,az,gx,gy,gz
-0.5820,-1.2393,-0.1189,-6.4351,-3.9771,-2.6107
-0.5627,-1.2900,-0.0945,-6.5802,-5.4733,-0.1145
-0.5574,-1.3425,-0.0552,-6.0076,-5.6489,2.1145
-0.5481,-1.3914,-0.0305,-5.5878,-6.5954,4.0000
-0.5276,-1.4160,-0.0117,-5.2137,-7.2519,5.6412
-0.5005,-1.4231,-0.0071,-4.8244,-6.5878,7.8244
-0.4878,-1.4080,-0.0088,-4.5802,-3.8092,10.6489
-0.4695,-1.3962,-0.0183,-4.5191,0.3893,14.2443
-0.4539,-1.3462,-0.0334,-4.5573,4.7481,18.3359
-0.4233,-1.2830,-0.0513,-5.5191,8.8779,23.2290
-0.3896,-1.2256,-0.0525,-6.3893,12.9237,28.5573
-0.3916,-1.1653,-0.0430,-7.4656,16.6489,34.1603
-0.3674,-1.1021,-0.0320,-8.8092,19.5344,39.2290
-0.3489,-1.0391,-0.0312,-10.4427,22.4198,43.8855
-0.3640,-0.9946,-0.0251,-11.9084,24.7634,48.6107
-0.3789,-0.9846,-0.0168,-13.1832,25.2137,53.1756
-0.3855,-0.9932,-0.0164,-13.8397,23.9389,56.8855
-0.3904,-1.0161,-0.0037,-14.0076,20.9084,59.6107
-0.3677,-1.0403,0.0051,-13.8473,17.1756,61.1221
-0.3442,-1.0710,0.0085,-13.0763,12.9466,61.9389
-0.3267,-1.0884,0.0078,-12.0382,8.8779,61.8168
-0.3088,-1.1062,0.0059,-10.6183,5.0305,61.1298
-0.2866,-1.1091,0.0032,-8.9542,1.7786,59.5573
-0.2751,-1.1057,0.0002,-6.9924,-1.0305,57.3206
-0.2542,-1.0825,-0.0017,-5.1221,-2.6031,54.6947
-0.2334,-1.0518,-0.0107,-3.0534,-3.3588,51.6336
-0.2168,-1.0247,-0.0139,-1.3664,-3.3511,48.2137
-0.2029,-0.9915,-0.0125,0.4504,-2.7557,44.5267
-0.1982,-0.9563,-0.0090,2.1069,-2.0458,40.4733
-0.1816,-0.9177,-0.0144,3.7786,-0.9389,36.3130
-0.1768,-0.8818,-0.0125,5.1298,0.1450,32.1603
-0.1782,-0.8435,-0.0132,6.4351,0.9008,27.8931
-0.1829,-0.8044,-0.0186,7.6031,1.4580,23.8473
-0.1873,-0.7920,-0.0215,8.8473,1.4809,20.0153
-0.1938,-0.7739,-0.0286,10.0000,1.4733,16.1908
-0.1948,-0.7500,-0.0415,11.1756,1.0153,12.2824
-0.1992,-0.7285,-0.0559,12.2672,0.4885,8.7099
-0.1990,-0.7227,-0.0654,13.2290,-0.1298,4.9924
-0.2075,-0.7202,-0.0754,14.0382,-0.7099,1.1221
-0.2109,-0.7170,-0.0808,14.7710,-1.4275,-2.7710
-0.2119,-0.7126,-0.0876,15.3435,-1.8855,-6.5954
-0.2209,-0.7114,-0.0959,15.7634,-2.1374,-10.5344
-0.2231,-0.7148,-0.1023,16.1985,-2.2595,-14.3740
-0.2300,-0.7209,-0.1072,16.5114,-2.4198,-18.4351
-0.2356,-0.7256,-0.1130,16.8626,-2.6412,-22.3588
-0.2449,-0.7441,-0.1143,17.2214,-2.9389,-26.3053
-0.2534,-0.7644,-0.1177,17.5802,-3.2137,-30.1679
-0.2695,-0.7949,-0.1189,18.0534,-3.7405,-34.0076
-0.2842,-0.8335,-0.1201,18.6870,-4.4046,-37.7710
-0.2893,-0.8691,-0.1240,19.3206,-4.8931,-41.3053
-0.3008,-0.9114,-0.1238,19.9924,-5.4122,-44.5496
-0.3179,-0.9480,-0.1287,20.6031,-5.6336,-47.4046
-0.3367,-0.9673,-0.1316,21.1145,-5.4885,-49.7023
-0.3560,-0.9856,-0.1387,21.2824,-5.1832,-51.2748
-0.3730,-0.9993,-0.1418,21.1145,-4.6336,-52.4656
-0.3967,-1.0088,-0.1421,20.7634,-4.2901,-52.6260
-0.4146,-1.0366,-0.1384,20.1527,-4.0000,-52.4427
-0.4314,-1.0845,-0.1321,19.3053,-3.8931,-51.4275
-0.4512,-1.1274,-0.1233,18.5038,-4.1679,-50.0458
-0.4773,-1.1667,-0.1052,17.7328,-4.1756,-47.9160
-0.5027,-1.1995,-0.0854,16.9313,-3.1756,-45.0458
-0.5149,-1.2068,-0.0835,16.3435,-1.1374,-41.1298
-0.5149,-1.1829,-0.0894,15.1145,2.7557,-36.4046
-0.4990,-1.1360,-0.0981,13.2977,11.4504,-30.4962
-0.4832,-1.1099,-0.1162,10.9237,24.7710,-24.3511
-0.4663,-1.0444,-0.1328,8.0076,38.7481,-17.1145
-0.4590,-1.0005,-0.1375,4.5115,52.8626,-10.4275
-0.4651,-0.9763,-0.1436,1.0229,67.4657,-4.1221
-0.4919,-0.9417,-0.1482,-2.5573,79.2595,1.7099
-0.5322,-0.9192,-0.1558,-6.1450,87.7405,6.8855
-0.5901,-0.9006,-0.1797,-9.5725,93.7557,12.1679
-0.6362,-0.8889,-0.2166,-13.2366,96.2595,17.3130
-0.6748,-0.8828,-0.2688,-16.9313,96.0611,22.1221
-0.6978,-0.8835,-0.3298,-20.7863,93.0763,26.4809
-0.7019,-0.8838,-0.3782,-25.2366,87.2824,29.6412
-0.6965,-0.8831,-0.4041,-30.0611,81.1985,32.1145
-0.7112,-0.8867,-0.4089,-35.1832,75.6794,33.7634
-0.7322,-0.9106,-0.4143,-40.0534,69.7710,34.1832
-0.7729,-0.9524,-0.3911,-44.2443,62.1603,33.9847
-0.8018,-0.9854,-0.3743,-47.3588,53.5802,33.2061
-0.8040,-1.0325,-0.3818,-49.7328,46.0763,31.6183
-0.7727,-1.0627,-0.3972,-51.2519,38.1069,29.3130
-0.7451,-1.0696,-0.4331,-53.4275,31.2366,26.3817
-0.7139,-1.0530,-0.5950,-66.4504,22.8473,22.5649
-0.7534,-1.0234,-0.5835,-69.0763,14.6183,23.6183
-0.7939,-0.9956,-0.5513,-70.7710,2.1374,25.2366
-0.7844,-0.9580,-0.5181,-71.7023,-12.6870,26.4046
-0.7600,-0.9136,-0.5049,-73.0916,-24.6107,28.3282
-0.7173,-0.8948,-0.5039,-74.6031,-32.2137,30.4809
-0.6953,-0.8821,-0.5066,-76.8397,-34.9389,32.9542
-0.6589,-0.8831,-0.4744,-78.3053,-36.3893,35.5878
-0.6372,-0.8640,-0.4302,-78.5267,-39.4733,37.8779
-0.5813,-0.8303,-0.3743,-78.3588,-42.9389,40.1527
-0.5134,-0.7910,-0.3403,-78.6107,-42.6489,41.4656
-0.4695,-0.7666,-0.3159,-78.8473,-41.3511,42.2748
-0.4514,-0.7476,-0.2942,-79.3130,-39.9695,43.0687
-0.4644,-0.7280,-0.2822,-79.3893,-39.6565,43.1679
-0.4978,-0.7012,-0.2791,-78.2290,-42.0687,42.5344
-0.5173,-0.6758,-0.2747,-75.8397,-45.7481,41.6107
-0.5149,-0.6443,-0.3491,-73.4275,-48.4504,40.3664
-0.2456,-0.8137,-0.1750,-61.7023,-39.4198,38.9313
-0.3657,-0.8174,0.1965,-41.8168,-42.7023,42.7405
-0.5955,-0.6345,0.3269,-33.4122,-47.7939,49.5649
-0.5020,-0.4353,0.2732,-29.6947,-42.9847,45.6260
-0.4500,-0.3760,0.1770,-29.4427,-28.1374,40.9771
-0.3728,-0.4302,0.0254,-29.0305,-5.7405,34.7557
-0.4258,-0.5117,-0.1072,-26.7710,8.3435,29.2977
-0.4082,-0.5620,-0.2812,-25.0840,14.3664,23.3511
-0.4329,-0.6204,-0.4834,-22.3817,21.3588,16.8931
-0.4893,-0.6604,-0.6282,-20.7786,26.3435,11.0305
-0.4363,-0.6804,-0.7158,-21.3130,31.8244,5.7176
-0.4077,-0.6343,-0.7449,-22.6718,39.3359,0.6336
-0.5330,-0.6340,-0.7400,-22.4427,38.8779,0.1069
-0.6074,-0.6577,-0.7256,-21.9618,30.3588,0.2366
-0.6196,-0.6582,-0.7117,-21.5114,19.8092,0.4656
-0.6179,-0.6606,-0.6992,-20.5649,9.9847,0.4580
-0.6113,-0.6599,-0.6765,-19.2824,0.6336,0.9313
-0.5688,-0.6382,-0.6643,-18.0534,-7.3511,1.8397
-0.4744,-0.6228,-0.6716,-17.7481,-9.9771,2.6336
-0.3828,-0.6003,-0.6819,-18.0534,-6.9542,2.7634
-0.3162,-0.5676,-0.6809,-18.4580,-2.9542,2.1221
-0.2983,-0.5493,-0.6733,-18.7557,0.8092,1.1908
-0.3193,-0.5447,-0.6667,-18.5496,3.5802,-0.7405
-0.3547,-0.5430,-0.6611,-17.5802,3.5038,-3.2901
-0.3728,-0.5508,-0.6609,-16.0992,2.2519,-6.6260
-0.3718,-0.5657,-0.6663,-14.1069,0.1756,-10.5191
-0.3591,-0.5828,-0.6743,-12.2595,-1.9160,-14.8168
-0.3538,-0.6106,-0.6628,-9.9008,-3.0000,-19.1221
-0.3784,-0.6541,-0.6479,-6.8321,-1.3511,-22.7405
-0.5005,-0.7141,-0.5969,-1.3435,1.3511,-22.7405
-0.7483,-0.7805,-0.4517,5.8779,2.4733,-18.1908
-1.0674,-0.7461,-0.3547,11.3282,-0.9924,-11.6947
-1.0596,-0.6604,-0.3655,15.8473,-11.4351,-9.5802
-0.8110,-0.5488,-0.4065,17.0153,-8.3206,-13.1679
-0.6472,-0.5132,-0.4465,15.0992,-1.5038,-16.7481
