ax,ay,az,gx,gy,gz
-0.2690,-0.5762,-0.1113,-8.7786,-18.7405,94.4046
-0.2678,-0.5669,-0.1086,-10.2977,-18.8092,88.5038
-0.2566,-0.5588,-0.0876,-11.5038,-17.8550,82.6260
-0.2480,-0.5562,-0.0684,-11.9771,-16.2290,76.3053
-0.2419,-0.5396,-0.0557,-12.1069,-13.6031,69.9771
-0.2383,-0.5242,-0.0447,-12.0153,-10.6260,63.8779
-0.2424,-0.5103,-0.0342,-12.2824,-7.0229,57.4504
-0.2493,-0.4932,-0.0251,-13.0305,-3.6947,50.7252
-0.2632,-0.4829,0.0166,-13.7328,-1.5802,43.5802
-0.2891,-0.4766,0.0374,-14.8321,-0.6031,36.3588
-0.3140,-0.4600,0.0508,-15.8473,0.1832,28.2672
-0.3210,-0.4539,0.0591,-16.5191,0.4580,19.6412
-0.3157,-0.4485,0.0693,-17.2061,0.9466,10.6870
-0.3015,-0.4534,0.0742,-18.0916,1.9924,1.6641
-0.2935,-0.4548,0.0762,-19.1679,3.2824,-7.3435
-0.2957,-0.4641,0.1023,-19.8702,4.6641,-16.1450
-0.3030,-0.4612,0.1228,-20.0611,6.8626,-24.9924
-0.2964,-0.4583,0.1453,-19.8244,9.3206,-33.6183
-0.3042,-0.4573,0.1602,-19.4733,11.9237,-42.2290
-0.3179,-0.4636,0.1704,-19.1985,14.8015,-50.6870
-0.3308,-0.4744,0.1721,-18.7328,17.3053,-59.2366
-0.3369,-0.4917,0.1577,-18.4733,19.5878,-67.9618
-0.3579,-0.5110,0.1360,-18.6870,21.7863,-77.3740
-0.3787,-0.5359,0.1248,-19.6718,23.0076,-87.2366
-0.4116,-0.5620,0.0994,-21.4962,23.4809,-97.4885
-0.4387,-0.5994,0.0923,-23.5878,22.6641,-108.5573
-0.4646,-0.6504,0.0859,-25.8702,21.5191,-119.5115
-0.4836,-0.7090,0.0859,-27.7939,20.3588,-129.9389
-0.5024,-0.7830,0.0786,-29.1908,19.3130,-139.7405
-0.5222,-0.8667,0.0754,-30.2290,18.0840,-148.5496
-0.5471,-0.9795,0.0750,-30.3740,17.0153,-156.5114
-0.5750,-1.1157,0.0691,-29.7099,15.2977,-163.6260
-0.6155,-1.2424,0.0601,-28.4122,12.0534,-169.9924
-0.6653,-1.3601,0.0464,-26.2824,7.1069,-174.4046
-0.6895,-1.4670,0.0457,-23.2443,1.2977,-176.8702
-0.6570,-1.5576,0.0256,-20.0763,-3.2137,-177.6107
-0.5847,-1.6589,-0.0125,-17.8092,-5.6183,-176.3130
-0.5156,-1.8020,-0.0710,-15.5420,-4.2061,-175.9008
-0.4338,-1.9138,-0.1174,-13.7710,-1.1985,-174.7710
-0.3679,-1.9180,-0.1404,-12.6412,0.9160,-172.4046
-0.2712,-1.8005,-0.1343,-13.9542,2.3740,-166.4275
-0.2253,-1.6707,-0.1306,-16.1527,6.5420,-159.7099
-0.1995,-1.5811,-0.1306,-18.8473,15.4275,-153.6260
-0.1467,-1.5981,-0.1040,-22.6031,23.1832,-146.3206
-0.1558,-1.6685,-0.0686,-24.0840,29.1374,-139.9160
-0.1851,-1.7136,-0.0293,-24.5573,32.7328,-132.6260
-0.2227,-1.7227,0.0122,-24.1145,36.3511,-125.0687
-0.2610,-1.7041,0.0447,-23.2443,39.8779,-117.6947
-0.3369,-1.6897,0.0588,-22.2137,42.1603,-110.6107
-0.4380,-1.6870,0.0750,-20.7634,42.0992,-103.7023
-0.5339,-1.6545,0.0757,-18.9237,38.2290,-96.8626
-0.5735,-1.5967,0.0911,-16.7023,33.9924,-89.7328
-0.5637,-1.5129,0.0764,-14.3282,30.9084,-82.4198
-0.5547,-1.4067,0.0725,-12.4809,29.6794,-75.1069
-0.5706,-1.2969,0.0774,-10.9466,28.9389,-67.6641
-0.5908,-1.1809,0.0879,-9.7634,27.1298,-59.9542
-0.6196,-1.0676,0.1072,-8.8473,23.4046,-52.0229
-0.6172,-0.9622,0.1245,-7.8626,19.4275,-43.9847
-0.5964,-0.8696,0.1326,-6.6260,15.4351,-36.0305
-0.5520,-0.7898,0.1448,-5.2290,12.3053,-28.7634
-0.4841,-0.7185,0.1682,-3.5725,10.8321,-21.1298
-0.4177,-0.6375,0.1692,-2.4427,11.6031,-12.8397
-0.3708,-0.5784,0.1699,-1.7023,14.0076,-5.0840
-0.3572,-0.5339,0.1670,-1.2748,16.5649,2.5115
-0.3667,-0.5220,0.1582,-0.8092,18.4122,9.7710
