ax,ay,az,gx,gy,gz
-0.5291,-2.5671,0.8242,-128.3740,-130.6794,-206.6031
-0.4001,-2.6941,1.0679,-127.0382,-114.0458,-196.8397
-0.3013,-2.7402,1.3235,-120.7405,-84.8550,-185.8397
-0.2830,-2.6775,1.4897,-110.0840,-46.6107,-173.4122
-0.3879,-2.5200,1.5344,-97.3359,-9.0992,-157.0763
-0.5562,-2.2749,1.4775,-84.0000,24.6412,-138.4962
-0.6873,-2.0193,1.3630,-70.4427,55.7328,-118.3130
-0.8782,-1.7124,1.1125,-62.1374,71.1298,-97.8168
-1.0205,-1.3657,1.0178,-51.8244,84.5038,-76.8626
-1.0466,-1.1843,0.9866,-49.0992,78.3740,-56.3053
-1.1384,-1.0752,0.8579,-47.1069,54.4122,-38.5115
-1.0491,-1.0359,0.7620,-44.5496,26.2366,-25.1450
-0.9199,-1.0105,0.7053,-42.3664,3.7176,-15.5115
-0.7812,-1.0120,0.7290,-38.9237,-11.3740,-7.6336
-0.7002,-1.0076,0.7710,-34.4580,-20.5191,-3.0305
-0.6260,-1.0132,0.7734,-28.8473,-24.1145,-0.6412
-0.5764,-0.9802,0.7571,-23.1450,-22.6336,-0.1679
-0.5444,-0.9595,0.7588,-17.3511,-18.0611,-0.9237
-0.5222,-0.9209,0.7571,-11.7557,-11.7328,-3.2290
-0.5500,-0.8879,0.7424,-6.8244,-5.2901,-5.8473
-0.5718,-0.8601,0.7356,-2.5191,0.5191,-8.3130
-0.6235,-0.8362,0.7197,1.5725,6.0992,-10.5878
-0.6790,-0.8071,0.6921,5.7634,8.9542,-11.9389
-0.7275,-0.7922,0.6477,9.2595,8.1832,-11.5496
-0.7603,-0.8220,0.6208,12.6107,4.2214,-9.7099
-0.7837,-0.8848,0.6121,16.2901,-3.0763,-7.4580
-0.8167,-0.9565,0.6023,20.7023,-12.9771,-4.3817
-0.8176,-1.0046,0.5730,25.5191,-23.3435,-0.6107
-0.7964,-1.0122,0.5347,29.9466,-31.6947,4.0992
-0.7625,-1.0039,0.4800,33.8168,-37.3588,9.5573
-0.7151,-0.9832,0.4153,36.3817,-39.5344,15.6183
-0.6628,-0.9795,0.3479,37.9160,-37.5649,22.2748
-0.6108,-0.9707,0.2864,37.9237,-33.1832,29.2672
-0.5635,-0.9807,0.2546,36.7023,-28.1450,35.8550
-0.5422,-1.0115,0.2595,35.0000,-23.5038,42.4351
-0.5503,-1.0476,0.2847,34.4351,-20.5878,48.0687
-0.5696,-1.0708,0.3198,34.4275,-19.8244,53.5649
-0.5747,-1.1140,0.3430,34.8550,-20.0534,58.3817
-0.5808,-1.1628,0.3608,35.5649,-21.0763,63.4122
-0.5813,-1.2258,0.3696,36.9008,-21.7023,68.5038
-0.5815,-1.2773,0.3635,38.2137,-21.6107,73.7710
-0.5696,-1.3035,0.3442,39.9008,-20.8397,79.3893
-0.5574,-1.3142,0.3157,41.2595,-19.5344,85.1145
-0.5229,-1.3174,0.2825,42.3511,-17.9008,90.7634
-0.4817,-1.3054,0.2444,43.5725,-15.7557,96.4580
-0.4351,-1.2834,0.2100,44.3969,-13.7710,101.6183
